dataset,model,method,mode,cost_ratio,n,target_class,target_recall_floor,accuracy_floor,selection_accuracy_metric,cost_matrix,test_class_prevalence,floor_pass_rate,all_seeds_floor_met,any_seed_floor_met,confusion_matrix_sum,selection_score_mean,selection_score_sd,selection_score_ci95,normalized_atc_mean,normalized_atc_sd,normalized_atc_ci95,atc_mean,atc_sd,atc_ci95,target_recall_mean,target_recall_sd,target_recall_ci95,target_fnr_mean,target_fnr_sd,target_fnr_ci95,target_precision_mean,target_precision_sd,target_precision_ci95,target_fpr_mean,target_fpr_sd,target_fpr_ci95,accuracy_mean,accuracy_sd,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,auroc_mean,auroc_sd,auroc_ci95,auprc_mean,auprc_sd,auprc_ci95,nll_mean,nll_sd,nll_ci95,brier_mean,brier_sd,brier_ci95,ece_mean,ece_sd,ece_ci95,selected_accuracy_mean,selected_accuracy_sd,selected_accuracy_ci95
breakhis_balanced,timm_dinov3_convnext_lora,ce_calibrated_cost_min,calibrated_threshold,20.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[20.0,0.0]]","{""0"":0.5,""1"":0.5}",0.6666666666666666,False,True,"[[587,259],[6,840]]",0.011448283956206092,0.002397285335576433,0.0027127837342860155,0.011199763593380615,0.002458941378571479,0.0027825541150059154,0.22399527186761228,0.049178827571429586,0.055651082300118324,0.9929078014184398,0.0061420241403152085,0.006950354609929124,0.0070921985815602835,0.006142024140315168,0.006950354609929078,0.764850099245948,0.022669111075092205,0.025652514067728265,0.3061465721040189,0.04032794824877537,0.04563536948349969,0.8433806146572104,0.018110583269556255,0.020494054246684497,0.8433806146572104,0.018110583269556193,0.020494054246684424,0.8396529165006497,0.019702899964319672,0.022295930212503815,0.9789916670858273,0.005629284138694468,0.006370134677127478,0.9795708965423428,0.005656041439732278,0.006400413413643134,0.21372356919723012,0.054931794901450136,0.062161177683906235,0.13502392237487354,0.03606111900762185,0.04080699766200603,0.03313484569376629,0.017146605111867032,0.019403210270968304,0.8433806146572104,0.018110583269556255,0.020494054246684497
breakhis_balanced,timm_dinov3_convnext_lora,ce_calibrated_cost_min,calibrated_cost_min,20.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[20.0,0.0]]","{""0"":0.5,""1"":0.5}",0.3333333333333333,False,True,"[[530,316],[2,844]]",0.013325872273359822,0.005498799635964302,0.006222477562085859,0.010520094562647755,0.0013743517676398913,0.0015552254314959335,0.21040189125295508,0.027487035352797836,0.031104508629918676,0.9976359338061466,0.0020473413801050267,0.0023167848699763263,0.002364066193853428,0.0020473413801050558,0.0023167848699763593,0.7297787738577212,0.04779001732736375,0.05407949556231947,0.37352245862884165,0.09249361777536472,0.10466638163702119,0.8120567375886525,0.04527356501703439,0.051231861701527305,0.8120567375886525,0.0452735650170344,0.051231861701527326,0.8044067534158458,0.05103732889575674,0.057754174530301856,0.9789916670858273,0.005629284138694468,0.006370134677127478,0.9795708965423428,0.005656041439732278,0.006400413413643134,0.21372356919723012,0.054931794901450136,0.062161177683906235,0.13502392237487354,0.03606111900762185,0.04080699766200603,0.03313484569376629,0.017146605111867032,0.019403210270968304,0.8120567375886525,0.04527356501703439,0.051231861701527305
breakhis_balanced,timm_dinov3_convnext_lora,nicme_logit_adjustment,calibrated_threshold,10.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]","{""0"":0.5,""1"":0.5}",1.0,True,True,"[[631,215],[3,843]]",0.014479905437352246,0.0017492492419561155,0.0019794618606172997,0.014479905437352246,0.0017492492419561155,0.0019794618606172997,0.14479905437352245,0.017492492419561155,0.019794618606172997,0.9964539007092199,0.003546099290780147,0.0040127891050059155,0.0035460992907801418,0.0035460992907801418,0.0040127891050059095,0.7969517272674791,0.013702250926385802,0.015505556591271178,0.25413711583924353,0.02166702456243896,0.02451854642877824,0.8711583924349883,0.010389122831706211,0.01175639921251815,0.8711583924349883,0.010389122831706253,0.011756399212518198,0.8690714528308261,0.01090680314980126,0.01234220963969059,0.9838790805291485,0.009414577321499225,0.010653597151713283,0.9832999457730885,0.01071996766828175,0.012130785389213644,0.1885980021710599,0.051609694223505725,0.058401866871361195,0.11526641307042555,0.0313403816187435,0.035464980417610835,0.0246795594638487,0.010922565034970478,0.012360045891835545,0.8711583924349883,0.010389122831706211,0.01175639921251815
breakhis_balanced,timm_dinov3_convnext_lora,nicme_hybrid,argmax,20.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[20.0,0.0]]","{""0"":0.5,""1"":0.5}",0.6666666666666666,False,True,"[[649,197],[18,828]]",0.016567981154536157,0.007831787087646865,0.008862501391245956,0.01645981087470449,0.007644873873458355,0.00865098917797336,0.32919621749408984,0.1528974774691671,0.1730197835594672,0.9787234042553191,0.015457088452271901,0.017491342190461796,0.02127659574468085,0.015457088452271893,0.017491342190461785,0.80787387065619,0.009182180773414485,0.010390615700906172,0.23286052009456268,0.014331389660735385,0.016217494089834507,0.8729314420803783,0.009098584112494468,0.010296017173722543,0.8729314420803783,0.009098584112494501,0.01029601717372258,0.8714813781418683,0.009181369556656507,0.010389697722727537,0.9723060543567561,0.0068709665906154325,0.0077752306449421,0.9721115118861023,0.006800155487784987,0.007695100338751788,0.3986403990989313,0.14637850881663653,0.16564287607896777,0.2510847196912132,0.10884281175058498,0.12316723626056977,0.1413858794644651,0.13213043859389137,0.14951966680903994,0.8729314420803783,0.009098584112494468,0.010296017173722543
breakhis_balanced,timm_dinov3_convnext_lora,nicme_logit_adjustment,calibrated_cost_min,10.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]","{""0"":0.5,""1"":0.5}",0.6666666666666666,False,True,"[[589,257],[2,844]]",0.016725935985782068,0.002760353841306262,0.003123634425340105,0.016371158392434988,0.002286707106637483,0.0025876526886069633,0.1637115839243499,0.02286707106637483,0.025876526886069628,0.9976359338061466,0.004094682760210118,0.0046335697399527255,0.002364066193853428,0.0040946827602101115,0.004633569739952719,0.76743923991115,0.030328187252009395,0.03431957466500277,0.3037825059101655,0.05334886097587121,0.06036991932094317,0.8469267139479905,0.025591767251313156,0.028959810874704443,0.8469267139479905,0.025591767251313218,0.028959810874704516,0.8431199997471467,0.02775217470379956,0.03140454205023895,0.9838790805291485,0.009414577321499225,0.010653597151713283,0.9832999457730885,0.01071996766828175,0.012130785389213644,0.1885980021710599,0.051609694223505725,0.058401866871361195,0.11526641307042555,0.0313403816187435,0.035464980417610835,0.0246795594638487,0.010922565034970478,0.012360045891835545,0.8469267139479905,0.025591767251313156,0.028959810874704443
breakhis_balanced,timm_dinov3_convnext_lora,nicme_hybrid,calibrated_threshold,20.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[20.0,0.0]]","{""0"":0.5,""1"":0.5}",0.3333333333333333,False,True,"[[642,204],[18,828]]",0.017018285465184513,0.009596804366999131,0.010859806465908365,0.016666666666666666,0.009027330393282134,0.010215385999945256,0.3333333333333333,0.1805466078656427,0.20430771999890512,0.9787234042553191,0.022145382973043987,0.02505985992875683,0.02127659574468085,0.022145382973043963,0.0250598599287568,0.8056254527426748,0.05631074284214779,0.06372160417483637,0.24113475177304966,0.0860614262376709,0.09738767170611834,0.8687943262411347,0.03254886480618055,0.03683250788102355,0.8687943262411348,0.03254886480618053,0.03683250788102353,0.8666982729644963,0.03416935325915892,0.03866626319233321,0.9723060543567561,0.0068709665906154325,0.0077752306449421,0.9721115118861023,0.006800155487784987,0.007695100338751788,0.3511346140755744,0.11089321676006711,0.12548748795354742,0.21657236602670035,0.07008113047235613,0.07930426470492308,0.10128597089723494,0.11154459911971722,0.12622459648369855,0.8687943262411347,0.03254886480618055,0.03683250788102355
breakhis_balanced,timm_dinov3_convnext_lora,nicme_logit_adjustment,argmax,10.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]","{""0"":0.5,""1"":0.5}",1.0,True,True,"[[727,119],[17,829]]",0.017080378250591017,0.003787581553194354,0.004286052009456266,0.017080378250591017,0.003787581553194354,0.004286052009456266,0.1708037825059102,0.03787581553194354,0.042860520094562655,0.9799054373522459,0.0054167561406097235,0.006129636607194541,0.02009456264775414,0.005416756140609741,0.006129636607194561,0.8751114607920272,0.029539065134572492,0.03342659892582842,0.14066193853427897,0.03824749335074098,0.0432811131404823,0.9196217494089834,0.020163974124387675,0.02281768474174983,0.9196217494089834,0.020163974124387737,0.022817684741749902,0.9192782960002192,0.020455916459415337,0.023148048593753325,0.9838790805291485,0.009414577321499225,0.010653597151713283,0.9832999457730885,0.01071996766828175,0.012130785389213644,0.1924687334806244,0.04804508926426575,0.05436813663112832,0.1158504368159075,0.030914626908694457,0.03498319360855792,0.028548810604616254,0.007591578091837263,0.008590679323596768,0.9196217494089834,0.020163974124387675,0.02281768474174983
breakhis_balanced,timm_dinov3_convnext_lora,ce_calibrated_cost_min,calibrated_cost_min,10.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]","{""0"":0.5,""1"":0.5}",0.3333333333333333,False,True,"[[579,267],[2,844]]",0.017997417970256356,0.005191841695102127,0.005875121952503987,0.016962174940898345,0.0035475765244583723,0.004014460752279003,0.16962174940898345,0.03547576524458373,0.04014460752279004,0.9976359338061466,0.0020473413801050267,0.0023167848699763263,0.002364066193853428,0.0020473413801050558,0.0023167848699763593,0.7620335157675804,0.05087005684728366,0.057564888388362746,0.31560283687943264,0.08949949974556001,0.1012782181300544,0.841016548463357,0.043803059015810344,0.049567827511650044,0.841016548463357,0.043803059015810344,0.049567827511650044,0.8363022761941515,0.04765825111282702,0.05393038805383102,0.9789916670858273,0.005629284138694468,0.006370134677127478,0.9795708965423428,0.005656041439732278,0.006400413413643134,0.21372356919723012,0.054931794901450136,0.062161177683906235,0.13502392237487354,0.03606111900762185,0.04080699766200603,0.03313484569376629,0.017146605111867032,0.019403210270968304,0.841016548463357,0.043803059015810344,0.049567827511650044
breakhis_balanced,timm_dinov3_convnext_lora,ce_calibrated_cost_min,calibrated_threshold,10.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]","{""0"":0.5,""1"":0.5}",1.0,True,True,"[[654,192],[13,833]]",0.019030732860520094,0.002771483235861314,0.003136228520866967,0.019030732860520094,0.002771483235861314,0.003136228520866967,0.19030732860520094,0.027714832358613144,0.031362285208669675,0.9846335697399526,0.012453491433632124,0.014092452197854084,0.015366430260047281,0.012453491433632079,0.014092452197854032,0.8147029563086553,0.04497643283968647,0.05089562499007694,0.22695035460992907,0.06921709679412458,0.07832651855455992,0.8788416075650117,0.028387257585160336,0.03212320598436123,0.8788416075650117,0.028387257585160336,0.03212320598436123,0.8771611213008699,0.029799675339345324,0.03372150713471157,0.9789916670858273,0.005629284138694468,0.006370134677127478,0.9795708965423428,0.005656041439732278,0.006400413413643134,0.21372356919723012,0.054931794901450136,0.062161177683906235,0.13502392237487354,0.03606111900762185,0.04080699766200603,0.03313484569376629,0.017146605111867032,0.019403210270968304,0.8788416075650117,0.028387257585160336,0.03212320598436123
breakhis_balanced,timm_dinov3_convnext_lora,nicme_logit_adjustment,calibrated_threshold,20.0,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[20.0,0.0]]","{""0"":0.5,""1"":0.5}",0.6666666666666666,False,True,"[[668,178],[26,820]]",0.023263024998742523,0.023301151882368733,0.02636773557095933,0.020626477541371157,0.018821974956875976,0.021299069723744173,0.41252955082742315,0.3764394991375195,0.42598139447488337,0.9692671394799054,0.0388994862219961,0.04401891252955087,0.030732860520094562,0.03889948622199606,0.04401891252955082,0.8220978330791168,0.013074984052230709,0.014795737301922709,0.21040189125295508,0.026615437941365738,0.030118203309692684,0.8794326241134751,0.008125134210914615,0.009194454910791844,0.8794326241134751,0.008125134210914663,0.009194454910791901,0.8783851231061774,0.007711160959018919,0.008726000076690046,0.9693845044682528,0.015669115710420633,0.017731273619814504,0.9702111351737788,0.011381700993173996,0.012879607139199882,0.2623809875689214,0.12415561196535535,0.14049530093961723,0.15969702484032544,0.08063348892318904,0.09124538240958374,0.05436069147562434,0.054285252024357314,0.06142954554380717,0.8794326241134751,0.008125134210914615,0.009194454910791844
