trial_number,cost_value,objective_class_0_recall,accuracy,f1_score,loss,class_0_accuracy,class_0_precision,class_0_recall,class_0_f1_score,class_0_false_positive_rate,class_0_false_negative_rate,class_1_accuracy,class_1_precision,class_1_recall,class_1_f1_score,class_1_false_positive_rate,class_1_false_negative_rate,cm_0_0,cm_0_1,cm_1_0,cm_1_1
24,1.0,0.84,0.86,0.8599439775910365,0.3617520034313202,0.84,0.875,0.84,0.8571428571428572,0.12,0.16,0.88,0.8461538461538461,0.88,0.8627450980392156,0.16,0.12,126,24,18,132
11,2.0,0.84,0.8633333333333333,0.8632588853931585,0.3723728060722351,0.84,0.8811188811188811,0.84,0.8600682593856654,0.11333333333333333,0.16,0.8866666666666667,0.8471337579617835,0.8866666666666667,0.8664495114006515,0.16,0.11333333333333333,126,24,17,133
0,3.0,0.8,0.8333333333333334,0.8331479421579533,0.4380599558353424,0.8,0.8571428571428571,0.8,0.8275862068965518,0.13333333333333333,0.2,0.8666666666666667,0.8125,0.8666666666666667,0.8387096774193549,0.2,0.13333333333333333,120,30,20,130
23,4.0,0.8266666666666667,0.87,0.869755429640102,0.3963582217693329,0.8266666666666667,0.9051094890510949,0.8266666666666667,0.8641114982578397,0.08666666666666667,0.17333333333333334,0.9133333333333333,0.8404907975460123,0.9133333333333333,0.8753993610223643,0.17333333333333334,0.08666666666666667,124,26,13,137
17,5.0,0.8333333333333334,0.8766666666666667,0.8764346383765069,0.5122005939483643,0.8333333333333334,0.9124087591240876,0.8333333333333334,0.8710801393728222,0.08,0.16666666666666666,0.92,0.8466257668711656,0.92,0.8817891373801918,0.16666666666666666,0.08,125,25,12,138
4,6.0,0.8533333333333334,0.8733333333333333,0.8732826463918901,0.6112741827964783,0.8533333333333334,0.8888888888888888,0.8533333333333334,0.8707482993197277,0.10666666666666667,0.14666666666666667,0.8933333333333333,0.8589743589743589,0.8933333333333333,0.8758169934640523,0.14666666666666667,0.10666666666666667,128,22,16,134
16,7.0,0.82,0.87,0.8696741854636592,0.48493310809135437,0.82,0.9111111111111111,0.82,0.8631578947368421,0.08,0.18,0.92,0.8363636363636363,0.92,0.8761904761904761,0.18,0.08,123,27,12,138
21,8.0,0.8,0.8533333333333334,0.8529149581030486,0.4711546301841736,0.8,0.8955223880597015,0.8,0.8450704225352113,0.09333333333333334,0.2,0.9066666666666666,0.8192771084337349,0.9066666666666666,0.8607594936708859,0.2,0.09333333333333334,120,30,14,136
15,9.0,0.8066666666666666,0.86,0.8596006418256373,0.5591643452644348,0.8066666666666666,0.9029850746268657,0.8066666666666666,0.852112676056338,0.08666666666666667,0.19333333333333333,0.9133333333333333,0.8253012048192772,0.9133333333333333,0.8670886075949367,0.19333333333333333,0.08666666666666667,121,29,13,137
20,10.0,0.82,0.86,0.859775641025641,0.5671162009239197,0.82,0.8913043478260869,0.82,0.8541666666666666,0.1,0.18,0.9,0.8333333333333334,0.9,0.8653846153846153,0.18,0.1,123,27,15,135
12,20.0,0.7933333333333333,0.85,0.8495167816655705,0.6535748243331909,0.7933333333333333,0.8947368421052632,0.7933333333333333,0.8409893992932862,0.09333333333333334,0.20666666666666667,0.9066666666666666,0.8143712574850299,0.9066666666666666,0.8580441640378549,0.20666666666666667,0.09333333333333334,119,31,14,136
5,30.0,0.7866666666666666,0.8466666666666667,0.8461126722868995,0.6237024068832397,0.7866666666666666,0.8939393939393939,0.7866666666666666,0.8368794326241135,0.09333333333333334,0.21333333333333335,0.9066666666666666,0.8095238095238095,0.9066666666666666,0.8553459119496856,0.21333333333333335,0.09333333333333334,118,32,14,136
27,40.0,0.7933333333333333,0.86,0.859375,0.6950355768203735,0.7933333333333333,0.9153846153846154,0.7933333333333333,0.85,0.07333333333333333,0.20666666666666667,0.9266666666666666,0.8176470588235294,0.9266666666666666,0.86875,0.20666666666666667,0.07333333333333333,119,31,11,139
7,50.0,0.8066666666666666,0.84,0.8398220244716352,1.2785909175872803,0.8066666666666666,0.8642857142857143,0.8066666666666666,0.8344827586206898,0.12666666666666668,0.19333333333333333,0.8733333333333333,0.81875,0.8733333333333333,0.8451612903225806,0.19333333333333333,0.12666666666666668,121,29,19,131
2,60.0,0.8666666666666667,0.8633333333333333,0.8633318147979422,1.4604744911193848,0.8666666666666667,0.8609271523178808,0.8666666666666667,0.8637873754152824,0.14,0.13333333333333333,0.86,0.8657718120805369,0.86,0.8628762541806019,0.13333333333333333,0.14,130,20,21,129
26,70.0,0.8133333333333334,0.8533333333333334,0.8530982905982906,1.0360280275344849,0.8133333333333334,0.8840579710144928,0.8133333333333334,0.8472222222222223,0.10666666666666667,0.18666666666666668,0.8933333333333333,0.8271604938271605,0.8933333333333333,0.858974358974359,0.18666666666666668,0.10666666666666667,122,28,16,134
10,80.0,0.8,0.8566666666666667,0.8562049247026563,0.964993417263031,0.8,0.9022556390977443,0.8,0.8480565371024734,0.08666666666666667,0.2,0.9133333333333333,0.8203592814371258,0.9133333333333333,0.8643533123028392,0.2,0.08666666666666667,120,30,13,137
3,90.0,0.8266666666666667,0.85,0.8499182888461496,1.4048142433166504,0.8266666666666667,0.8671328671328671,0.8266666666666667,0.8464163822525598,0.12666666666666668,0.17333333333333334,0.8733333333333333,0.8343949044585988,0.8733333333333333,0.8534201954397393,0.17333333333333334,0.12666666666666668,124,26,19,131
18,100.0,0.8133333333333334,0.8533333333333334,0.8530982905982906,1.2821928262710571,0.8133333333333334,0.8840579710144928,0.8133333333333334,0.8472222222222223,0.10666666666666667,0.18666666666666668,0.8933333333333333,0.8271604938271605,0.8933333333333333,0.858974358974359,0.18666666666666668,0.10666666666666667,122,28,16,134
