run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,smoke,nicme_v3_run95_a0p5_l0p07,nicme_v3_top5_alpha_lambda_multiseed,nicme_v3_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,completed,7841cdd0e1d27df2,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0001_7841cdd0e1d27df2.json,results/pmi10_sota_convnext_base_test/top5_smoke_nicme_v3_run95_a0p5_l0p07_lr5e5_s43_05-04_03-09/metrics_20260504_030915_nicme_v3_hybrid.json,checkpoints/top5_smoke_nicme_v3_run95_a0p5_l0p07_lr5e5_s43,argmax,0.125,0.6640625,0.0840625,0.840625,0.6375,0.6375,0.6162656952352432,17,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-04T03:08:29,2026-05-04T03:09:15,46.3,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0001_7841cdd0e1d27df2.stdout.log,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0001_7841cdd0e1d27df2.stderr.log,0,
2,smoke,nicme_v3_run69_a0p2_l0p09,nicme_v3_top5_alpha_lambda_multiseed,nicme_v3_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.2,0.09,completed,c2144f4b5079beb6,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0002_c2144f4b5079beb6.json,results/pmi10_sota_convnext_base_test/top5_smoke_nicme_v3_run69_a0p2_l0p09_lr5e5_s43_05-04_03-09/metrics_20260504_030959_nicme_v3_hybrid.json,checkpoints/top5_smoke_nicme_v3_run69_a0p2_l0p09_lr5e5_s43,argmax,0.34375,0.7265625,0.10968750000000001,1.096875,0.634375,0.634375,0.6065343445705436,26,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-04T03:09:15,2026-05-04T03:10:00,44.5,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0002_c2144f4b5079beb6.stdout.log,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0002_c2144f4b5079beb6.stderr.log,0,
3,smoke,nicme_v3_run20_a0p06_l0p03,nicme_v3_top5_alpha_lambda_multiseed,nicme_v3_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.06,0.03,completed,addc1bc71296fac1,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0003_addc1bc71296fac1.json,results/pmi10_sota_convnext_base_test/top5_smoke_nicme_v3_run20_a0p06_l0p03_lr5e5_s43_05-04_03-10/metrics_20260504_031044_nicme_v3_hybrid.json,checkpoints/top5_smoke_nicme_v3_run20_a0p06_l0p03_lr5e5_s43,argmax,0.375,0.734375,0.1125,1.125,0.634375,0.634375,0.6020554848035413,27,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-04T03:10:00,2026-05-04T03:10:45,44.7,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0003_addc1bc71296fac1.stdout.log,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0003_addc1bc71296fac1.stderr.log,0,
4,smoke,nicme_v3_run50_a0p09_l0p07,nicme_v3_top5_alpha_lambda_multiseed,nicme_v3_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,completed,e23c3698ab93bfd1,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0004_e23c3698ab93bfd1.json,results/pmi10_sota_convnext_base_test/top5_smoke_nicme_v3_run50_a0p09_l0p07_lr5e5_s43_05-04_03-11/metrics_20260504_031129_nicme_v3_hybrid.json,checkpoints/top5_smoke_nicme_v3_run50_a0p09_l0p07_lr5e5_s43,argmax,0.375,0.734375,0.113125,1.13125,0.628125,0.628125,0.5959799182132689,27,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-04T03:10:45,2026-05-04T03:11:30,45.5,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0004_e23c3698ab93bfd1.stdout.log,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0004_e23c3698ab93bfd1.stderr.log,0,
5,smoke,nicme_v3_run53_a0p09_l0p2,nicme_v3_top5_alpha_lambda_multiseed,nicme_v3_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.2,completed,ce4a8e9ae0beacce,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0005_ce4a8e9ae0beacce.json,results/pmi10_sota_convnext_base_test/top5_smoke_nicme_v3_run53_a0p09_l0p2_lr5e5_s43_05-04_03-12/metrics_20260504_031217_nicme_v3_hybrid.json,checkpoints/top5_smoke_nicme_v3_run53_a0p09_l0p2_lr5e5_s43,argmax,0.375,0.734375,0.113125,1.13125,0.628125,0.628125,0.5959799182132689,27,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-04T03:11:30,2026-05-04T03:12:17,47.2,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0005_ce4a8e9ae0beacce.stdout.log,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0005_ce4a8e9ae0beacce.stderr.log,0,
