alpha,cs_lambda,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_balanced_accuracy,target_recall_min,normalized_atc,balanced_accuracy,critical_pair_error_count,status,metric_path
0.08,0.2,0.9354838709677419,0.9838709677419355,0.005806451612903226,0.9419354838709678,0.90625,0.01125,0.94375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p08_l0p2_lr5e5_s42_05-03_04-09/metrics_20260503_040926_nicme_v3_hybrid.json
0.08,0.02,0.9354838709677419,0.9838709677419355,0.0061290322580645155,0.9387096774193548,0.90625,0.01125,0.94375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p08_l0p02_lr5e5_s42_05-03_03-38/metrics_20260503_033816_nicme_v3_hybrid.json
0.08,0.03,0.9354838709677419,0.9838709677419355,0.0061290322580645155,0.9387096774193548,0.90625,0.01125,0.94375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p08_l0p03_lr5e5_s42_05-03_03-42/metrics_20260503_034229_nicme_v3_hybrid.json
0.04,0.3,0.9354838709677419,0.9758064516129032,0.0064516129032258064,0.964516129032258,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p3_lr5e5_s42_05-03_01-27/metrics_20260503_012743_nicme_v3_hybrid.json
0.08,0.05,0.9354838709677419,0.9838709677419355,0.0064516129032258064,0.935483870967742,0.90625,0.01125,0.94375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p08_l0p05_lr5e5_s42_05-03_03-50/metrics_20260503_035051_nicme_v3_hybrid.json
0.6,0.05,0.9354838709677419,0.9758064516129032,0.006774193548387097,0.9774193548387096,0.875,0.014687500000000001,0.96875,5,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p05_lr5e5_s42_05-03_17-22/metrics_20260503_172302_nicme_v3_hybrid.json
0.08,0.04,0.9354838709677419,0.9838709677419355,0.006774193548387097,0.932258064516129,0.90625,0.01125,0.94375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p08_l0p04_lr5e5_s42_05-03_03-46/metrics_20260503_034639_nicme_v3_hybrid.json
0.08,0.07,0.9354838709677419,0.9838709677419355,0.006774193548387097,0.932258064516129,0.90625,0.0128125,0.928125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p08_l0p07_lr5e5_s42_05-03_03-54/metrics_20260503_035503_nicme_v3_hybrid.json
0.07,0.2,0.9354838709677419,0.9838709677419355,0.0070967741935483875,0.9290322580645162,0.90625,0.011875,0.9375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p2_lr5e5_s42_05-03_03-29/metrics_20260503_033001_nicme_v3_hybrid.json
0.09,0.03,0.9354838709677419,0.9838709677419355,0.0070967741935483875,0.9290322580645162,0.90625,0.013125000000000001,0.925,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p03_lr5e5_s42_05-03_04-22/metrics_20260503_042255_nicme_v3_hybrid.json
0.09,0.04,0.9354838709677419,0.9838709677419355,0.007419354838709677,0.9258064516129032,0.90625,0.0134375,0.921875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p04_lr5e5_s42_05-03_04-26/metrics_20260503_042704_nicme_v3_hybrid.json
0.1,0.05,0.9354838709677419,0.9838709677419355,0.007419354838709677,0.9258064516129032,0.90625,0.013125000000000001,0.925,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p1_l0p05_lr5e5_s42_05-03_05-15/metrics_20260503_051531_nicme_v3_hybrid.json
0.1,0.04,0.9354838709677419,0.9838709677419355,0.007741935483870968,0.9225806451612903,0.90625,0.013125000000000001,0.925,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p1_l0p04_lr5e5_s42_05-03_05-11/metrics_20260503_051123_nicme_v3_hybrid.json
0.1,0.02,0.9354838709677419,0.9758064516129032,0.01064516129032258,0.9225806451612903,0.90625,0.0134375,0.921875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p1_l0p02_lr5e5_s42_05-03_05-01/metrics_20260503_050157_nicme_v3_hybrid.json
0.6,0.2,0.9032258064516129,0.9596774193548387,0.006774193548387097,0.932258064516129,0.90625,0.013125000000000001,0.940625,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p2_lr5e5_s42_05-03_17-35/metrics_20260503_173523_nicme_v3_hybrid.json
0.6,0.3,0.9032258064516129,0.9596774193548387,0.006774193548387097,0.932258064516129,0.90625,0.0134375,0.9375,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p3_lr5e5_s42_05-03_17-38/metrics_20260503_173826_nicme_v3_hybrid.json
0.6,0.07,0.9032258064516129,0.9596774193548387,0.007419354838709677,0.9258064516129032,0.875,0.0140625,0.9375,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p07_lr5e5_s42_05-03_17-25/metrics_20260503_172604_nicme_v3_hybrid.json
0.6,0.09,0.9032258064516129,0.9596774193548387,0.007419354838709677,0.9258064516129032,0.875,0.0140625,0.9375,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p09_lr5e5_s42_05-03_17-29/metrics_20260503_172913_nicme_v3_hybrid.json
0.6,0.1,0.9032258064516129,0.9596774193548387,0.007419354838709677,0.9258064516129032,0.875,0.0140625,0.9375,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p1_lr5e5_s42_05-03_17-32/metrics_20260503_173217_nicme_v3_hybrid.json
0.4,0.07,0.8709677419354839,0.9596774193548387,0.0070967741935483875,0.9580645161290324,0.90625,0.0159375,0.946875,4,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p07_lr5e5_s42_05-03_07-24/metrics_20260503_072453_nicme_v3_hybrid.json
