phase,tag,dataset,model_family,model_checkpoint,method,decision_mode,nicme_logit_cost_scale,cs_lambda,target_class,cost_matrix_C_true_pred,target_recall_floor,accuracy_floor,accuracy_floor_metric,floor_accuracy_value,target_recall_floor_met,accuracy_floor_met,all_floors_met,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,threshold,calibration_selection_score,calibration_target_recall,calibration_accuracy,calibration_normalized_atc,confusion_matrix,run,metrics_file,config_file,elapsed_seconds
stop2b_threshold_tuning,breakhis_convnext_ce,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,ce,argmax,1.0,10.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.9375,False,True,False,0.0203125,0.203125,0.96875,0.03125,0.9117647058823529,0.09375,0.9375,0.9375,0.9374389051808407,0.02031875,0.9541015625,0.9526934794627399,0.43195945442950945,0.2542031555072667,0.2576606320217252,,,,,,,"[[29, 3], [1, 31]]",stop2b_threshold_breakhis_convnext_ce_04-28_07-22,results/convnext_test/stop2b_threshold_breakhis_convnext_ce_04-28_07-22/metrics_20260428_072241_ce.json,results/stop2b_threshold_tuning/configs/008_stop2b_threshold_breakhis_convnext_ce.json,37.748212814331055
stop2b_threshold_tuning,breakhis_convnext_ce,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,ce,calibrated_cost_min,1.0,10.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5625,True,False,False,0.04375,0.4375,1.0,0.0,0.5333333333333333,0.875,0.5625,0.5625,0.4589371980676329,0.12640625,0.9541015625,0.9526934794627399,0.30766235232277633,0.1677057374911871,0.13360595203081135,0.5,,,,,,"[[4, 28], [0, 32]]",stop2b_threshold_breakhis_convnext_ce_04-28_07-22,results/convnext_test/stop2b_threshold_breakhis_convnext_ce_04-28_07-22/metrics_20260428_072241_ce.json,results/stop2b_threshold_tuning/configs/008_stop2b_threshold_breakhis_convnext_ce.json,37.748212814331055
stop2b_threshold_tuning,breakhis_convnext_ce,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,ce,calibrated_threshold,1.0,10.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.859375,False,True,False,0.028125,0.28125,0.96875,0.03125,0.7948717948717948,0.25,0.859375,0.859375,0.8576723498888065,0.02813125,0.9541015625,0.9526934794627399,0.30766235232277633,0.1677057374911871,0.13360595203081135,0.5,0.2846278296621058,0.0125,1.0,0.875,0.0125,"[[24, 8], [1, 31]]",stop2b_threshold_breakhis_convnext_ce_04-28_07-22,results/convnext_test/stop2b_threshold_breakhis_convnext_ce_04-28_07-22/metrics_20260428_072241_ce.json,results/stop2b_threshold_tuning/configs/008_stop2b_threshold_breakhis_convnext_ce.json,37.748212814331055
stop2b_threshold_tuning,breakhis_convnext_logit_s0.05,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_logit_adjustment,argmax,0.05,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.9375,False,True,False,0.0203125,0.203125,0.96875,0.03125,0.9117647058823529,0.09375,0.9375,0.9375,0.9374389051808407,0.02031875,0.94921875,0.9489317462066355,0.4562800387813805,0.2749977216162287,0.2750216256827116,,,,,,,"[[29, 3], [1, 31]]",stop2b_threshold_breakhis_convnext_logit_s0.05_04-28_07-23,results/convnext_test/stop2b_threshold_breakhis_convnext_logit_s0.05_04-28_07-23/metrics_20260428_072319_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/009_stop2b_threshold_breakhis_convnext_logit_s0.05.json,38.30792856216431
stop2b_threshold_tuning,breakhis_convnext_logit_s0.05,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_logit_adjustment,calibrated_cost_min,0.05,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.515625,True,False,False,0.0484375,0.484375,1.0,0.0,0.5079365079365079,0.96875,0.515625,0.515625,0.3671451355661882,0.16024414062499998,0.94921875,0.9489317462066355,0.3345776114629979,0.18502581104409513,0.15677696778213313,0.5,,,,,,"[[1, 31], [0, 32]]",stop2b_threshold_breakhis_convnext_logit_s0.05_04-28_07-23,results/convnext_test/stop2b_threshold_breakhis_convnext_logit_s0.05_04-28_07-23/metrics_20260428_072319_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/009_stop2b_threshold_breakhis_convnext_logit_s0.05.json,38.30792856216431
stop2b_threshold_tuning,breakhis_convnext_logit_s0.05,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_logit_adjustment,calibrated_threshold,0.05,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.828125,False,False,False,0.03125,0.3125,0.96875,0.03125,0.7560975609756098,0.3125,0.828125,0.828125,0.8246575342465754,0.031734765625,0.94921875,0.9489317462066355,0.3345776114629979,0.18502581104409513,0.15677696778213313,0.5,0.33379523293935187,0.0156640625,1.0,0.84375,0.015625,"[[22, 10], [1, 31]]",stop2b_threshold_breakhis_convnext_logit_s0.05_04-28_07-23,results/convnext_test/stop2b_threshold_breakhis_convnext_logit_s0.05_04-28_07-23/metrics_20260428_072319_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/009_stop2b_threshold_breakhis_convnext_logit_s0.05.json,38.30792856216431
stop2b_threshold_tuning,breakhis_timm_convnext_logit_s0.05,breakhis_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,nicme_logit_adjustment,argmax,0.05,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.828125,False,False,False,0.059375,0.59375,0.90625,0.09375,0.7837837837837838,0.25,0.828125,0.828125,0.8270695160894128,0.07610976562499998,0.8115234375,0.8227987662247433,0.5451961233649091,0.36568583866642007,0.22064081393182275,,,,,,,"[[24, 8], [3, 29]]",stop2b_threshold_breakhis_timm_convnext_logit_s0.05_04-28_07-25,results/timm_dinov3_convnext_lora_test/stop2b_threshold_breakhis_timm_convnext_logit_s0.05_04-28_07-25/metrics_20260428_072542_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/013_stop2b_threshold_breakhis_timm_convnext_logit_s0.05.json,44.9808714389801
stop2b_threshold_tuning,breakhis_timm_convnext_logit_s0.05,breakhis_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,nicme_logit_adjustment,calibrated_cost_min,0.05,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.515625,True,False,False,0.0484375,0.484375,1.0,0.0,0.5079365079365079,0.96875,0.515625,0.515625,0.3671451355661882,0.16024414062499998,0.8115234375,0.8227987662247433,0.512844803788693,0.3450176083565503,0.1960558515327988,0.6,,,,,,"[[1, 31], [0, 32]]",stop2b_threshold_breakhis_timm_convnext_logit_s0.05_04-28_07-25,results/timm_dinov3_convnext_lora_test/stop2b_threshold_breakhis_timm_convnext_logit_s0.05_04-28_07-25/metrics_20260428_072542_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/013_stop2b_threshold_breakhis_timm_convnext_logit_s0.05.json,44.9808714389801
stop2b_threshold_tuning,breakhis_timm_convnext_logit_s0.05,breakhis_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,nicme_logit_adjustment,calibrated_threshold,0.05,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.796875,False,False,False,0.090625,0.90625,0.84375,0.15625,0.7714285714285715,0.25,0.796875,0.796875,0.7964276975776854,0.15720351562499996,0.8115234375,0.8227987662247433,0.512844803788693,0.3450176083565503,0.1960558515327988,0.6,0.5329404539835885,0.09344374999999998,0.90625,0.75,0.0671875,"[[24, 8], [5, 27]]",stop2b_threshold_breakhis_timm_convnext_logit_s0.05_04-28_07-25,results/timm_dinov3_convnext_lora_test/stop2b_threshold_breakhis_timm_convnext_logit_s0.05_04-28_07-25/metrics_20260428_072542_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/013_stop2b_threshold_breakhis_timm_convnext_logit_s0.05.json,44.9808714389801
stop2b_threshold_tuning,spider_timm_convnext_logit_s0.5,spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,nicme_logit_adjustment,argmax,0.5,0.0,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.640625,False,False,False,0.134375,1.34375,0.78125,0.21875,0.6097560975609756,0.5,0.640625,0.640625,0.6333748443337484,0.27368164062499994,0.732421875,0.7484092240187423,0.6103715574846567,0.4233851504655614,0.12317192088812588,,,,,,,"[[25, 7], [16, 16]]",stop2b_threshold_spider_timm_convnext_logit_s0.5_04-28_07-21,results/timm_dinov3_convnext_lora_test/stop2b_threshold_spider_timm_convnext_logit_s0.5_04-28_07-21/metrics_20260428_072203_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/007_stop2b_threshold_spider_timm_convnext_logit_s0.5.json,25.086320400238037
