dataset_key,dataset_display,composite_rank,method,display_name,decision_mode,n_seeds,seeds,learning_rate,parent_learning_rate,alpha,cs_lambda,loss_function,target_recall_min_mean,target_recall_min_std,target_recall_macro_mean,target_recall_macro_std,normalized_atc_mean,normalized_atc_std,atc_mean,atc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,critical_pair_error_count_mean,critical_pair_error_count_std,critical_pair_error_count_total
spider,Spider,1,csada,CSADA,argmax,3,"42,43,44",1e-05,5e-05,,,csada,1.0,0.0,1.0,0.0,0.04222222222222222,0.010868000088605353,0.33777777777777773,0.08694400070884283,0.6622222222222223,0.08694400070884283,0.6622222222222223,0.08694400070884283,0.6105230396458697,0.12942498356067805,0.0,0.0,0
spider,Spider,2,cost_weighted_ce,Cost-weighted CE,argmax,3,"42,43,44",5e-05,5e-05,,,cost_weighted_ce,1.0,0.0,1.0,0.0,0.06138888888888889,0.0019245008972987529,0.4911111111111111,0.015396007178390023,0.5088888888888888,0.015396007178389992,0.5088888888888888,0.015396007178389992,0.35222203129872526,0.03271618456488173,0.0,0.0,0
spider,Spider,3,ce_cost_min_inference_binary,CE + cost-min inference,cost_min,3,"42,43,44",5e-05,5e-05,,,cross_entropy,0.9933333333333333,0.0,0.9933333333333333,0.0,0.013333333333333334,0.0028867513459481286,0.10666666666666667,0.02309401076758503,0.9166666666666666,0.023094010767585053,0.9166666666666666,0.023094010767585053,0.9160930633649128,0.023467771380350187,1.0,0.0,3
spider,Spider,4,nicme_a0p5_l0p1_binary,"NICME (alpha=0.5, lambda=0.1)",argmax,3,"42,43,44",5e-05,5e-05,0.5,0.1,nicme_hybrid,0.9755555555555556,0.013877773329774246,0.9755555555555556,0.013877773329774246,0.01875,0.004389855730355308,0.15,0.035118845842842465,0.9355555555555556,0.01575271875417537,0.9355555555555556,0.015752718754175388,0.9353973707837291,0.015887135636446097,3.6666666666666665,2.0816659994661326,11
spider,Spider,5,ce_anchor_binary,CE,argmax,3,"42,43,44",5e-05,5e-05,,,cross_entropy,0.9711111111111111,0.016777409856157218,0.9711111111111111,0.016777409856157218,0.020555555555555553,0.007920320794101807,0.16444444444444442,0.06336256635281445,0.9366666666666666,0.010000000000000009,0.9366666666666666,0.009999999999999953,0.9365789600572617,0.010037474725130282,4.333333333333333,2.516611478423583,13
spider,Spider,6,cost_sensitive_regularized_ce,cost-sensitive regularized CE,argmax,3,"42,43,44",1e-05,5e-05,,,cost_sensitive_regularized_ce,0.9622222222222222,0.010183501544346328,0.9622222222222222,0.010183501544346328,0.02236111111111111,0.005357583756107196,0.17888888888888888,0.04286067004885757,0.9533333333333335,0.010000000000000009,0.9533333333333335,0.010000000000000009,0.9533268626174155,0.01000604060969025,5.666666666666667,1.5275252316519468,17
spider,Spider,7,menon_logit_adjusted,Menon logit adjustment,argmax,3,"42,43,44",5e-05,5e-05,,,menon_logit_adjusted,0.9622222222222222,0.010183501544346328,0.9622222222222222,0.010183501544346328,0.025694444444444447,0.004214997473748199,0.20555555555555557,0.033719979789985595,0.9266666666666666,0.010000000000000009,0.9266666666666667,0.010000000000000064,0.926555191461842,0.010069677073445055,5.666666666666667,1.5275252316519468,17
breakhis,BreaKHis,1,csada,CSADA,argmax,3,"42,43,44",1e-05,5e-05,,,csada,1.0,0.0,1.0,0.0,0.07083755488010807,0.0010236706900525214,0.49586288416075647,0.00716569483036769,0.5041371158392435,0.007165694830367722,0.5041371158392435,0.007165694830367722,0.34233418062824467,0.015589924825955287,0.0,0.0,0
breakhis,BreaKHis,2,ce_cost_min_inference_binary,CE + cost-min inference,cost_min,3,"42,43,44",5e-05,5e-05,,,cross_entropy,0.9893617021276596,0.012284048280630353,0.9893617021276596,0.012284048280630353,0.04078014184397163,0.013515016790227048,0.2854609929078014,0.09460511753158934,0.7464539007092199,0.07063327761362445,0.7464539007092199,0.07063327761362445,0.7280343468740886,0.0822618097702445,3.0,3.4641016151377544,9
breakhis,BreaKHis,3,nicme_a0p5_l0p1_binary,"NICME (alpha=0.5, lambda=0.1)",argmax,3,"42,43,44",5e-05,5e-05,0.5,0.1,nicme_hybrid,0.9692671394799054,0.036394336449977895,0.9692671394799054,0.036394336449977895,0.03259034110097939,0.009193284423381423,0.22813238770685582,0.06435299096366996,0.8640661938534279,0.046144731196083075,0.8640661938534279,0.04614473119608302,0.8613784791192494,0.04916235860086656,8.666666666666666,10.263202878893768,26
