dataset_key,dataset_display,seed,method,display_name,source,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,accuracy,balanced_accuracy,macro_f1,critical_pair_error_count,learning_rate,parent_learning_rate,alpha,cs_lambda,metric_path,config_path
spider,Spider,44,nicme_a0p5_l0p1_binary,"NICME (alpha=0.5, lambda=0.1)",binary_camera_ready_spider_seed_44,argmax,0.96,0.96,0.023333333333333334,0.18666666666666668,0.9533333333333334,0.9533333333333334,0.9533312591670741,6,5e-05,5e-05,0.5,0.1,results/binary_sota_convnext_base_test/binary_spider_run_nicme_a0p5_l0p1_binary_lr5e5_s44_05-05_02-57/metrics_20260505_025743_nicme_hybrid.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/run/configs/0002_f427f568c22c9b47.json
spider,Spider,44,menon_logit_adjusted,Menon logit adjustment,binary_camera_ready_spider_seed_44,argmax,0.96,0.96,0.027916666666666666,0.22333333333333333,0.9166666666666666,0.9166666666666666,0.9165098907949372,6,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_spider_run_menon_logit_adjusted_lr5e5_s44_05-05_03-01/metrics_20260505_030107_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/run/configs/0003_8b4f43ead2fd684e.json
spider,Spider,44,cost_weighted_ce,Cost-weighted CE,binary_camera_ready_spider_seed_44,argmax,1.0,1.0,0.0625,0.5,0.5,0.5,0.3333333333333333,0,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_spider_run_cost_weighted_ce_lr5e5_s44_05-05_03-03/metrics_20260505_030308_cost_weighted_ce.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/run/configs/0004_a89c35e1d2d84114.json
spider,Spider,44,cost_sensitive_regularized_ce,cost-sensitive regularized CE,binary_camera_ready_spider_seed_44,argmax,0.9733333333333334,0.9733333333333334,0.01625,0.13,0.9633333333333334,0.9633333333333334,0.9633296662999634,4,1e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_spider_run_cost_sensitive_regularized_ce_lr5e5_s44_05-05_03-04/metrics_20260505_030440_cost_sensitive_regularized_ce.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/run/configs/0005_85864089de4ff2c0.json
spider,Spider,44,csada,CSADA,binary_camera_ready_spider_seed_44,argmax,1.0,1.0,0.032916666666666664,0.2633333333333333,0.7366666666666667,0.7366666666666667,0.7170453324418868,0,1e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_spider_run_csada_lr5e5_s44_05-05_03-07/metrics_20260505_030800_csada.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/run/configs/0006_f1ffd06eed71adb6.json
breakhis,BreaKHis,42,ce_anchor_binary,CE,binary_camera_ready_breakhis_seed_42,argmax,0.8368794326241135,0.8368794326241135,0.08611955420466058,0.6028368794326241,0.8865248226950354,0.8865248226950355,0.8862444534086324,46,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_ce_anchor_binary_lr5e5_s42_05-05_03-12/metrics_20260505_031309_cross_entropy.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/run/configs/0001_79531ef387743b8d.json
breakhis,BreaKHis,42,ce_cost_min_inference_binary,CE + cost-min inference,binary_camera_ready_breakhis_seed_42,cost_min,0.975177304964539,0.975177304964539,0.05268490374873353,0.36879432624113473,0.7056737588652482,0.7056737588652482,0.6826219016108912,7,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_ce_anchor_binary_lr5e5_s42_05-05_03-12/metrics_20260505_031309_cross_entropy.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/run/configs/0001_79531ef387743b8d.json
breakhis,BreaKHis,42,nicme_a0p5_l0p1_binary,"NICME (alpha=0.5, lambda=0.1)",binary_camera_ready_breakhis_seed_42,argmax,1.0,1.0,0.025835866261398176,0.18085106382978725,0.8191489361702128,0.8191489361702128,0.8130338130338131,0,5e-05,5e-05,0.5,0.1,results/binary_sota_convnext_base_test/binary_breakhis_run_nicme_a0p5_l0p1_binary_lr5e5_s42_05-05_03-21/metrics_20260505_032143_nicme_hybrid.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/run/configs/0002_3891f35f865f609a.json
breakhis,BreaKHis,42,menon_logit_adjusted,Menon logit adjustment,binary_camera_ready_breakhis_seed_42,argmax,0.8368794326241135,0.8368794326241135,0.08611955420466058,0.6028368794326241,0.8865248226950354,0.8865248226950355,0.8862444534086324,46,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_menon_logit_adjusted_lr5e5_s42_05-05_03-26/metrics_20260505_032645_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/run/configs/0003_46defbde4c24400d.json
breakhis,BreaKHis,42,cost_weighted_ce,Cost-weighted CE,binary_camera_ready_breakhis_seed_42,argmax,0.950354609929078,0.950354609929078,0.06231003039513678,0.43617021276595747,0.7127659574468085,0.7127659574468086,0.6955820617045378,14,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_cost_weighted_ce_lr5e5_s42_05-05_03-31/metrics_20260505_033146_cost_weighted_ce.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/run/configs/0004_b9f700b1060161dc.json
