dataset_key,seed,metric,nicme,baseline_method,baseline,improvement_positive_favors_nicme,direction
breakhis,42,target_recall_min,1.0,ce_anchor_binary,0.8368794326241135,0.16312056737588654,higher
breakhis,42,target_recall_macro,1.0,ce_anchor_binary,0.8368794326241135,0.16312056737588654,higher
breakhis,42,normalized_atc,0.025835866261398176,ce_anchor_binary,0.08611955420466058,0.0602836879432624,lower
breakhis,42,atc,0.18085106382978725,ce_anchor_binary,0.6028368794326241,0.4219858156028369,lower
breakhis,42,accuracy,0.8191489361702128,ce_anchor_binary,0.8865248226950354,-0.06737588652482263,higher
breakhis,42,balanced_accuracy,0.8191489361702128,ce_anchor_binary,0.8865248226950355,-0.06737588652482274,higher
breakhis,42,macro_f1,0.8130338130338131,ce_anchor_binary,0.8862444534086324,-0.07321064037481939,higher
breakhis,42,critical_pair_error_count,0.0,ce_anchor_binary,46.0,46.0,lower
breakhis,43,target_recall_min,0.9290780141843972,ce_anchor_binary,0.8865248226950354,0.042553191489361764,higher
breakhis,43,target_recall_macro,0.9290780141843972,ce_anchor_binary,0.8865248226950354,0.042553191489361764,higher
breakhis,43,normalized_atc,0.04305977710233029,ce_anchor_binary,0.05952380952380953,0.016464032421479237,lower
breakhis,43,atc,0.30141843971631205,ce_anchor_binary,0.4166666666666667,0.11524822695035464,lower
breakhis,43,accuracy,0.9113475177304965,ce_anchor_binary,0.9237588652482269,-0.012411347517730431,higher
breakhis,43,balanced_accuracy,0.9113475177304964,ce_anchor_binary,0.9237588652482269,-0.012411347517730542,higher
breakhis,43,macro_f1,0.9113196392407452,ce_anchor_binary,0.9236530197856164,-0.012333380544871209,higher
breakhis,43,critical_pair_error_count,20.0,ce_anchor_binary,32.0,12.0,lower
breakhis,44,target_recall_min,0.9787234042553191,ce_anchor_binary,0.9680851063829787,0.010638297872340385,higher
breakhis,44,target_recall_macro,0.9787234042553191,ce_anchor_binary,0.9680851063829787,0.010638297872340385,higher
breakhis,44,normalized_atc,0.028875379939209724,ce_anchor_binary,0.031408308004052685,0.002532928064842961,lower
breakhis,44,atc,0.20212765957446807,ce_anchor_binary,0.2198581560283688,0.017730496453900735,lower
breakhis,44,accuracy,0.8617021276595744,ce_anchor_binary,0.875886524822695,-0.014184397163120588,higher
breakhis,44,balanced_accuracy,0.8617021276595744,ce_anchor_binary,0.875886524822695,-0.014184397163120588,higher
breakhis,44,macro_f1,0.8597819850831898,ce_anchor_binary,0.8748224431818181,-0.015040458098628307,higher
breakhis,44,critical_pair_error_count,6.0,ce_anchor_binary,9.0,3.0,lower
spider,42,target_recall_min,0.9866666666666667,ce_anchor_binary,0.9733333333333334,0.013333333333333308,higher
spider,42,target_recall_macro,0.9866666666666667,ce_anchor_binary,0.9733333333333334,0.013333333333333308,higher
spider,42,normalized_atc,0.014583333333333334,ce_anchor_binary,0.020833333333333332,0.006249999999999999,lower
spider,42,atc,0.11666666666666667,ce_anchor_binary,0.16666666666666666,0.04999999999999999,lower
spider,42,accuracy,0.93,ce_anchor_binary,0.9266666666666666,0.0033333333333334103,higher
spider,42,balanced_accuracy,0.9299999999999999,ce_anchor_binary,0.9266666666666667,0.0033333333333331883,higher
spider,42,macro_f1,0.9297744981105995,ce_anchor_binary,0.9265066144047036,0.0032678837058959243,higher
spider,42,critical_pair_error_count,2.0,ce_anchor_binary,4.0,2.0,lower
spider,43,target_recall_min,0.98,ce_anchor_binary,0.9533333333333334,0.026666666666666616,higher
spider,43,target_recall_macro,0.98,ce_anchor_binary,0.9533333333333334,0.026666666666666616,higher
spider,43,normalized_atc,0.018333333333333333,ce_anchor_binary,0.028333333333333332,0.009999999999999998,lower
spider,43,atc,0.14666666666666667,ce_anchor_binary,0.22666666666666666,0.07999999999999999,lower
spider,43,accuracy,0.9233333333333333,ce_anchor_binary,0.9366666666666666,-0.013333333333333308,higher
spider,43,balanced_accuracy,0.9233333333333333,ce_anchor_binary,0.9366666666666668,-0.01333333333333342,higher
spider,43,macro_f1,0.9230863550735138,ce_anchor_binary,0.936649069185885,-0.0135627141123712,higher
spider,43,critical_pair_error_count,3.0,ce_anchor_binary,7.0,4.0,lower
spider,44,target_recall_min,0.96,ce_anchor_binary,0.9866666666666667,-0.026666666666666727,higher
spider,44,target_recall_macro,0.96,ce_anchor_binary,0.9866666666666667,-0.026666666666666727,higher
spider,44,normalized_atc,0.023333333333333334,ce_anchor_binary,0.0125,-0.010833333333333334,lower
spider,44,atc,0.18666666666666668,ce_anchor_binary,0.1,-0.08666666666666667,lower
spider,44,accuracy,0.9533333333333334,ce_anchor_binary,0.9466666666666667,0.00666666666666671,higher
spider,44,balanced_accuracy,0.9533333333333334,ce_anchor_binary,0.9466666666666667,0.00666666666666671,higher
spider,44,macro_f1,0.9533312591670741,ce_anchor_binary,0.9465811965811965,0.006750062585877514,higher
spider,44,critical_pair_error_count,6.0,ce_anchor_binary,2.0,-4.0,lower
