dataset_key,seed,metric,nicme,baseline_method,baseline,improvement_positive_favors_nicme,direction
breakhis,42,target_recall_min,1.0,csada,1.0,0.0,higher
breakhis,42,target_recall_macro,1.0,csada,1.0,0.0,higher
breakhis,42,normalized_atc,0.025835866261398176,csada,0.07142857142857142,0.045592705167173245,lower
breakhis,42,atc,0.18085106382978725,csada,0.5,0.3191489361702128,lower
breakhis,42,accuracy,0.8191489361702128,csada,0.5,0.3191489361702128,higher
breakhis,42,balanced_accuracy,0.8191489361702128,csada,0.5,0.3191489361702128,higher
breakhis,42,macro_f1,0.8130338130338131,csada,0.3333333333333333,0.47970047970047974,higher
breakhis,42,critical_pair_error_count,0.0,csada,0.0,0.0,lower
breakhis,43,target_recall_min,0.9290780141843972,csada,1.0,-0.07092198581560283,higher
breakhis,43,target_recall_macro,0.9290780141843972,csada,1.0,-0.07092198581560283,higher
breakhis,43,normalized_atc,0.04305977710233029,csada,0.07142857142857142,0.028368794326241134,lower
breakhis,43,atc,0.30141843971631205,csada,0.5,0.19858156028368795,lower
breakhis,43,accuracy,0.9113475177304965,csada,0.5,0.4113475177304965,higher
breakhis,43,balanced_accuracy,0.9113475177304964,csada,0.5,0.4113475177304964,higher
breakhis,43,macro_f1,0.9113196392407452,csada,0.3333333333333333,0.577986305907412,higher
breakhis,43,critical_pair_error_count,20.0,csada,0.0,-20.0,lower
breakhis,44,target_recall_min,0.9787234042553191,csada,1.0,-0.021276595744680882,higher
breakhis,44,target_recall_macro,0.9787234042553191,csada,1.0,-0.021276595744680882,higher
breakhis,44,normalized_atc,0.028875379939209724,csada,0.06965552178318137,0.04078014184397164,lower
breakhis,44,atc,0.20212765957446807,csada,0.4875886524822695,0.28546099290780147,lower
breakhis,44,accuracy,0.8617021276595744,csada,0.5124113475177305,0.3492907801418439,higher
breakhis,44,balanced_accuracy,0.8617021276595744,csada,0.5124113475177305,0.3492907801418439,higher
breakhis,44,macro_f1,0.8597819850831898,csada,0.36033587521806726,0.49944610986512256,higher
breakhis,44,critical_pair_error_count,6.0,csada,0.0,-6.0,lower
spider,42,target_recall_min,0.9866666666666667,csada,1.0,-0.013333333333333308,higher
spider,42,target_recall_macro,0.9866666666666667,csada,1.0,-0.013333333333333308,higher
spider,42,normalized_atc,0.014583333333333334,csada,0.05416666666666667,0.03958333333333333,lower
spider,42,atc,0.11666666666666667,csada,0.43333333333333335,0.31666666666666665,lower
spider,42,accuracy,0.93,csada,0.5666666666666667,0.3633333333333334,higher
spider,42,balanced_accuracy,0.9299999999999999,csada,0.5666666666666667,0.3633333333333333,higher
spider,42,macro_f1,0.9297744981105995,csada,0.466484268125855,0.46329022998474456,higher
spider,42,critical_pair_error_count,2.0,csada,0.0,-2.0,lower
spider,43,target_recall_min,0.98,csada,1.0,-0.020000000000000018,higher
spider,43,target_recall_macro,0.98,csada,1.0,-0.020000000000000018,higher
spider,43,normalized_atc,0.018333333333333333,csada,0.03958333333333333,0.021249999999999998,lower
spider,43,atc,0.14666666666666667,csada,0.31666666666666665,0.16999999999999998,lower
spider,43,accuracy,0.9233333333333333,csada,0.6833333333333333,0.24,higher
spider,43,balanced_accuracy,0.9233333333333333,csada,0.6833333333333333,0.24,higher
spider,43,macro_f1,0.9230863550735138,csada,0.6480395183698673,0.2750468367036465,higher
spider,43,critical_pair_error_count,3.0,csada,0.0,-3.0,lower
spider,44,target_recall_min,0.96,csada,1.0,-0.040000000000000036,higher
spider,44,target_recall_macro,0.96,csada,1.0,-0.040000000000000036,higher
spider,44,normalized_atc,0.023333333333333334,csada,0.032916666666666664,0.009583333333333329,lower
spider,44,atc,0.18666666666666668,csada,0.2633333333333333,0.07666666666666663,lower
spider,44,accuracy,0.9533333333333334,csada,0.7366666666666667,0.21666666666666667,higher
spider,44,balanced_accuracy,0.9533333333333334,csada,0.7366666666666667,0.21666666666666667,higher
spider,44,macro_f1,0.9533312591670741,csada,0.7170453324418868,0.23628592672518722,higher
spider,44,critical_pair_error_count,6.0,csada,0.0,-6.0,lower
