dataset_key,seed,run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
spider,43,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,8d79f11bada591d2,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0005_8d79f11bada591d2.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_sensitive_regularized_ce_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,6,dry-run,csada,csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,885b5daee021358f,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0006_885b5daee021358f.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_csada_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,44,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,4c2f72532efa6224,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/dry-run/configs/0001_4c2f72532efa6224.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_ce_anchor_binary_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,44,2,dry-run,nicme_a0p5_l0p1_binary,nicme_a0p5_l0p1_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,1c5bd83de1e210b4,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/dry-run/configs/0002_1c5bd83de1e210b4.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_nicme_a0p5_l0p1_binary_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,44,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,3e0b4bc0df5caa1f,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/dry-run/configs/0003_3e0b4bc0df5caa1f.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_menon_logit_adjusted_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,44,4,dry-run,cost_weighted_ce,cost_weighted_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,6e25e520ddfe9991,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/dry-run/configs/0004_6e25e520ddfe9991.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_weighted_ce_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,44,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,2a4a8dda1869043c,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/dry-run/configs/0005_2a4a8dda1869043c.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_sensitive_regularized_ce_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,44,6,dry-run,csada,csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,df672e1a4e68f1a7,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/dry-run/configs/0006_df672e1a4e68f1a7.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_csada_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
breakhis,42,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,e13b18851c42be7e,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/dry-run/configs/0001_e13b18851c42be7e.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_ce_anchor_binary_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,42,2,dry-run,nicme_a0p5_l0p1_binary,nicme_a0p5_l0p1_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,06960a19658c7cfb,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/dry-run/configs/0002_06960a19658c7cfb.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_nicme_a0p5_l0p1_binary_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
