seed,method,display_name,source_label,metric,run50,candidate,delta_positive_favors_candidate,direction
42,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,macro_f1,0.9657001450032003,0.9688090088279842,0.003108863824783814,higher
42,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,critical_pair_error_count,3.0,1.0,2.0,lower
43,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,target_recall_min,0.90625,0.90625,0.0,higher
43,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,target_recall_macro,0.9609375,0.9765625,0.015625,higher
43,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,normalized_atc,0.00609375,0.005,0.00109375,lower
43,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,atc,0.0609375,0.05,0.010937499999999996,lower
43,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,balanced_accuracy,0.978125,0.9640625,-0.014062499999999978,higher
43,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,macro_f1,0.9782007221335738,0.963875767857818,-0.014324954275755752,higher
43,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,critical_pair_error_count,3.0,1.0,2.0,lower
43,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,target_recall_min,0.90625,0.875,-0.03125,higher
43,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,target_recall_macro,0.9609375,0.9609375,0.0,higher
43,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,normalized_atc,0.00609375,0.00625,-0.00015625000000000014,lower
43,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,atc,0.0609375,0.0625,-0.0015625000000000014,lower
