run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,run,ce_anchor_pmi20,ce_anchor_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,ef4e0e0b67532d81,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0001_ef4e0e0b67532d81.json,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s43_05-04_09-34/metrics_20260504_093454_cross_entropy.json,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s43,argmax,0.90625,0.96875,0.005,0.05,0.978125,0.978125,0.9781859349601285,2,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T09:28:06,2026-05-04T09:34:55,408.6,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0001_ef4e0e0b67532d81.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0001_ef4e0e0b67532d81.stderr.log,0,
2,run,nicme_v3_run50_a0p09_l0p07_pmi20,nicme_v3_run50_a0p09_l0p07_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,completed,42c83f3df57452a5,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0002_42c83f3df57452a5.json,results/pmi20_sota_convnext_base_test/pmi20_run_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s43_05-04_09-41/metrics_20260504_094145_nicme_v3_hybrid.json,checkpoints/pmi20_run_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s43,argmax,0.90625,0.9609375,0.00609375,0.0609375,0.978125,0.978125,0.9782007221335738,3,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T09:34:55,2026-05-04T09:41:45,410.4,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0002_42c83f3df57452a5.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0002_42c83f3df57452a5.stderr.log,0,
3,run,menon_logit_adjusted,menon_logit_adjusted,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,87bcf76199fd7ef7,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0003_87bcf76199fd7ef7.json,results/pmi20_sota_convnext_base_test/pmi20_run_menon_logit_adjusted_lr5e5_s43_05-04_09-48/metrics_20260504_094839_menon_logit_adjusted.json,checkpoints/pmi20_run_menon_logit_adjusted_lr5e5_s43,argmax,0.90625,0.96875,0.00453125,0.0453125,0.9828125,0.9828125,0.9829186832593605,2,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T09:41:45,2026-05-04T09:48:39,414.0,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0003_87bcf76199fd7ef7.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0003_87bcf76199fd7ef7.stderr.log,0,
4,run,cost_weighted_ce,cost_weighted_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,7dd85243ab5173e3,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0004_7dd85243ab5173e3.json,results/pmi20_sota_convnext_base_test/pmi20_run_cost_weighted_ce_lr5e5_s43_05-04_09-55/metrics_20260504_095529_cost_weighted_ce.json,checkpoints/pmi20_run_cost_weighted_ce_lr5e5_s43,argmax,0.90625,0.96875,0.005625,0.05625,0.971875,0.971875,0.9719677792024413,2,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T09:48:39,2026-05-04T09:55:29,410.0,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0004_7dd85243ab5173e3.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0004_7dd85243ab5173e3.stderr.log,0,
5,run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,completed,687e0b1f3a4a5f17,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0005_687e0b1f3a4a5f17.json,results/pmi20_sota_convnext_base_test/pmi20_run_cost_sensitive_regularized_ce_lr5e5_s43_05-04_09-58/metrics_20260504_095832_cost_sensitive_regularized_ce.json,checkpoints/pmi20_run_cost_sensitive_regularized_ce_lr5e5_s43,argmax,0.90625,0.9609375,0.00625,0.0625,0.9765625,0.9765625,0.9766845282093325,3,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T09:55:29,2026-05-04T09:58:33,183.4,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0005_687e0b1f3a4a5f17.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0005_687e0b1f3a4a5f17.stderr.log,0,
6,run,csada,csada,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,completed,f9a6e7c169f7e471,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0006_f9a6e7c169f7e471.json,results/pmi20_sota_convnext_base_test/pmi20_run_csada_lr5e5_s43_05-04_10-02/metrics_20260504_100237_csada.json,checkpoints/pmi20_run_csada_lr5e5_s43,argmax,0.875,0.96875,0.0240625,0.240625,0.8015625,0.8015625,0.7701121382173179,3,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T09:58:33,2026-05-04T10:02:37,244.6,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0006_f9a6e7c169f7e471.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/logs/0006_f9a6e7c169f7e471.stderr.log,0,
