composite_rank,method,display_name,decision_mode,n_seeds,seeds,learning_rate,parent_learning_rate,alpha,cs_lambda,loss_function,target_recall_min_mean,target_recall_min_std,target_recall_macro_mean,target_recall_macro_std,normalized_atc_mean,normalized_atc_std,atc_mean,atc_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,critical_pair_error_count_mean,critical_pair_error_count_std,critical_pair_error_count_total,source_label
1,nicme_a0p5_l0p1_pmi20,"NICME (alpha=0.5, lambda=0.1)",argmax,3,"42,43,44",5e-05,5e-05,0.5,0.1,nicme_hybrid,0.9166666666666666,0.018042195912175804,0.9739583333333334,0.009021097956087902,0.0036979166666666666,0.0009547032697824667,0.03697916666666667,0.009547032697824667,0.9770833333333333,0.010635717633678179,0.977095554595187,0.010610126728108578,1.0,1.0,3,PMI-20 fixed candidate rerun
2,ap_csada,AP-CSADA,argmax,3,"42,43,44",1e-05,5e-05,,,ap_csada,0.9166666666666666,0.018042195912175804,0.9661458333333334,0.009021097956087902,0.005052083333333333,0.0018109727761160116,0.05052083333333333,0.018109727761160113,0.9802083333333332,0.0032526031241658163,0.9802521745474051,0.003173322509406159,2.3333333333333335,1.1547005383792515,7,
3,menon_logit_adjusted,Menon logit adjustment,argmax,3,"42,43,44",5e-05,5e-05,,,menon_logit_adjusted,0.9166666666666666,0.018042195912175804,0.96875,0.0078125,0.005520833333333333,0.003165107209216353,0.05520833333333333,0.031651072092163536,0.9729166666666668,0.018509745462413404,0.9726637159499214,0.019056132362008135,2.0,1.0,6,
4,ce_anchor_pmi20,CE,argmax,3,"42,43,44",5e-05,5e-05,,,cross_entropy,0.9166666666666666,0.018042195912175804,0.96875,0.0078125,0.005677083333333333,0.003102785626793016,0.05677083333333333,0.031027856267930167,0.9713541666666666,0.017422634045497654,0.9710861331835109,0.017946261551102346,2.0,1.0,6,
5,cost_weighted_ce,Cost-weighted CE,argmax,3,"42,43,44",5e-05,5e-05,,,cost_weighted_ce,0.9166666666666666,0.018042195912175804,0.9713541666666666,0.004510548978043951,0.0073437500000000005,0.0014905300022139778,0.0734375,0.014905300022139774,0.9546875,0.014905300022139795,0.9538440725522435,0.015698064562807854,2.0,0.0,6,
6,csada,CSADA,argmax,3,"42,43,44",1e-05,5e-05,,,csada,0.8854166666666666,0.018042195912175804,0.9713541666666666,0.004510548978043951,0.025260416666666664,0.006104424411509519,0.2526041666666667,0.06104424411509518,0.7755208333333333,0.05771387984777436,0.7462835018622208,0.0639564102581836,2.0,1.0,6,
7,ce_cost_min_inference_pmi20,CE + cost-min inference,cost_min,3,"42,43,44",5e-05,5e-05,,,cross_entropy,0.8333333333333334,0.047735163489123336,0.9322916666666666,0.019661027175184243,0.0056770833333333335,0.0016412449225613262,0.05677083333333333,0.016412449225613263,0.9526041666666667,0.02340275201943855,0.9525673357425412,0.02375864307376068,0.6666666666666666,1.1547005383792515,2,
