composite_rank,method,display_name,decision_mode,n_seeds,seeds,alpha,cs_lambda,loss_function,target_recall_min_mean,target_recall_min_std,target_recall_macro_mean,target_recall_macro_std,normalized_atc_mean,normalized_atc_std,atc_mean,atc_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,critical_pair_error_count_mean,critical_pair_error_count_std,critical_pair_error_count_total
2,ce,CE,argmax,3,"42,43,44",0.0,0.0,,0.9166666666666666,0.018042195912175804,0.96875,0.0078125,0.005677083333333333,0.003102785626793016,0.05677083333333333,0.031027856267930167,0.9713541666666666,0.017422634045497654,0.9710861331835109,0.017946261551102346,2.0,1.0,6
3,nicme_regularizer_only_l0p1,Regularizer-only,argmax,3,"42,43,44",0.0,0.1,cs_regularized_ce,0.8958333333333334,0.018042195912175804,0.9635416666666666,0.004510548978043951,0.006614583333333333,0.0013288907106430287,0.06614583333333333,0.013288907106430287,0.9666666666666667,0.0054873196629441545,0.9665741713638294,0.005565643572484288,2.3333333333333335,0.5773502691896257,7
4,nicme_margin_only_a0p5,Margin-only,argmax,3,"42,43,44",0.5,0.0,nicme_logit_adjustment,0.875,0.05412658773652741,0.9583333333333334,0.018042195912175804,0.0075,0.004752158226795485,0.075,0.04752158226795485,0.9473958333333333,0.057417003052957535,0.9472315606482008,0.057734780420470096,1.6666666666666667,0.5773502691896257,5
1,nicme_full_a0p5_l0p1,Full NICME,argmax,3,"42,43,44",0.5,0.1,,0.9166666666666666,0.018042195912175804,0.9739583333333334,0.009021097956087902,0.0036979166666666666,0.0009547032697824667,0.03697916666666667,0.009547032697824667,0.9770833333333333,0.010635717633678179,0.977095554595187,0.010610126728108578,1.0,1.0,3
