cost_value,class_0_recall_parent,class_0_recall_playground,class_0_recall_hybrid,class_0_recall_spread,accuracy_parent,accuracy_playground,accuracy_hybrid,accuracy_spread,f1_score_parent,f1_score_playground,f1_score_hybrid,f1_score_spread,class_1_recall_parent,class_1_recall_playground,class_1_recall_hybrid,class_1_recall_spread,class_0_precision_parent,class_0_precision_playground,class_0_precision_hybrid,class_0_precision_spread,class_1_precision_parent,class_1_precision_playground,class_1_precision_hybrid,class_1_precision_spread
1.0,0.9466666666666667,0.9688888888888889,0.94,0.028888888888888964,0.8933333333333333,0.888641425389755,0.85,0.043333333333333335,0.8930290604385809,0.8878800591314076,0.8487750781328763,0.04425398230570454,0.84,0.8080357142857143,0.76,0.07999999999999996,0.8554216867469879,0.8352490421455939,0.7966101694915254,0.05881151725546252,0.9402985074626866,0.9627659574468085,0.926829268292683,0.03593668915412551
2.0,0.92,0.96,0.9466666666666667,0.039999999999999925,0.8866666666666667,0.8552338530066815,0.8766666666666667,0.03143281365998518,0.8865406006674083,0.8535602643291169,0.8760593575185074,0.03298033633829134,0.8533333333333334,0.75,0.8066666666666666,0.10333333333333339,0.8625,0.7941176470588235,0.8304093567251462,0.06838235294117656,0.9142857142857143,0.9491525423728814,0.937984496124031,0.03486682808716712
3.0,0.9133333333333333,0.9422222222222222,0.9666666666666667,0.053333333333333344,0.8766666666666667,0.8530066815144766,0.8466666666666667,0.030000000000000027,0.8765006286229264,0.8517707082833134,0.8444264069264069,0.03207422169651952,0.84,0.7633928571428571,0.7266666666666667,0.11333333333333329,0.8509316770186336,0.8,0.7795698924731183,0.07136178454551534,0.9064748201438849,0.9293478260869565,0.956140350877193,0.04966553073330804
4.0,0.92,0.9644444444444444,0.96,0.0444444444444444,0.8866666666666667,0.8173719376391982,0.8866666666666667,0.06929472902746847,0.8865406006674083,0.8132127927269777,0.8860538898074087,0.07332780794043059,0.8533333333333334,0.6696428571428571,0.8133333333333334,0.1836904761904763,0.8625,0.7457044673539519,0.8372093023255814,0.11679553264604814,0.9142857142857143,0.9493670886075949,0.953125,0.03883928571428574
5.0,0.9066666666666666,0.9555555555555556,0.9533333333333334,0.04888888888888898,0.8833333333333333,0.6792873051224945,0.8966666666666666,0.21737936154417214,0.8832697802136719,0.6523422377080914,0.8963337829251709,0.24399154521707944,0.86,0.4017857142857143,0.84,0.4582142857142857,0.8662420382165605,0.6160458452722063,0.8562874251497006,0.25019619294435425,0.9020979020979021,0.9,0.9473684210526315,0.047368421052631504
6.0,0.9066666666666666,0.9777777777777777,0.98,0.07333333333333336,0.89,0.821826280623608,0.8866666666666667,0.06817371937639205,0.8899694359544318,0.8172568172568173,0.8856707317073171,0.07271261869761447,0.8733333333333333,0.6651785714285714,0.7933333333333333,0.2081547619047619,0.8774193548387097,0.7457627118644068,0.8258426966292135,0.1316566429743029,0.903448275862069,0.9675324675324676,0.9754098360655737,0.07196156020350475
7.0,0.9333333333333333,0.9822222222222222,0.9533333333333334,0.04888888888888887,0.8533333333333334,0.7973273942093542,0.87,0.07267260579064583,0.8523886205045625,0.7899766120948881,0.8690909090909091,0.07911429699602102,0.7733333333333333,0.6116071428571429,0.7866666666666666,0.17505952380952372,0.8045977011494253,0.7175324675324676,0.8171428571428572,0.0996103896103896,0.9206349206349206,0.9716312056737588,0.944,0.05099628503883824
8.0,0.9333333333333333,0.96,0.9466666666666667,0.026666666666666616,0.8566666666666667,0.8463251670378619,0.84,0.01666666666666672,0.8558192039878844,0.8442359613267169,0.8381586045675238,0.01766059942036058,0.78,0.7321428571428571,0.7333333333333333,0.04785714285714293,0.8092485549132948,0.782608695652174,0.7802197802197802,0.029028774693514614,0.9212598425196851,0.9479768786127167,0.9322033898305084,0.026717036093031665
9.0,0.9066666666666666,0.9866666666666667,0.9666666666666667,0.08000000000000007,0.86,0.7616926503340757,0.8733333333333333,0.11164068299925756,0.8596944456817068,0.7487251369006835,0.8722202295552368,0.12349509265455327,0.8133333333333334,0.5357142857142857,0.78,0.27761904761904765,0.8292682926829268,0.6809815950920245,0.8146067415730337,0.1482866975909023,0.8970588235294118,0.975609756097561,0.9590163934426229,0.07855093256814916
10.0,0.8933333333333333,0.9644444444444444,0.9733333333333334,0.08000000000000007,0.8533333333333334,0.8040089086859689,0.8666666666666667,0.06265775798069784,0.8530982905982906,0.7986875356647918,0.8651321704729364,0.06644463480814466,0.8133333333333334,0.6428571428571429,0.76,0.17047619047619045,0.8271604938271605,0.7306397306397306,0.8021978021978022,0.09652076318742986,0.8840579710144928,0.9473684210526315,0.9661016949152542,0.08204372390076142
20.0,0.9133333333333333,0.9644444444444444,0.96,0.05111111111111111,0.8666666666666667,0.7639198218262806,0.8333333333333334,0.1027468448403861,0.8663756625540064,0.7538071591144218,0.8306156556303357,0.11256850343958469,0.82,0.5625,0.7066666666666667,0.25749999999999995,0.8353658536585366,0.6888888888888889,0.7659574468085106,0.14647696476964767,0.9044117647058824,0.9402985074626866,0.9464285714285714,0.04201680672268904
30.0,0.9266666666666666,0.9911111111111112,0.94,0.06444444444444453,0.8766666666666667,0.732739420935412,0.8333333333333334,0.1439272457312547,0.8763575605680869,0.7132700412959257,0.8314152130911707,0.16308751927216114,0.8266666666666667,0.4732142857142857,0.7266666666666667,0.35345238095238096,0.8424242424242424,0.6539589442815249,0.7747252747252747,0.1884652981427175,0.9185185185185185,0.9814814814814815,0.923728813559322,0.062962962962963
40.0,0.94,0.9911111111111112,0.9666666666666667,0.05111111111111122,0.85,0.6659242761692651,0.8866666666666667,0.22074239049740163,0.8487750781328763,0.6258167029645763,0.8859366612989801,0.2601199583344038,0.76,0.3392857142857143,0.8066666666666666,0.46738095238095234,0.7966101694915254,0.601078167115903,0.8333333333333334,0.23225516621743036,0.926829268292683,0.9743589743589743,0.9603174603174603,0.047529706066291366
50.0,0.9333333333333333,1.0,0.9466666666666667,0.06666666666666665,0.8533333333333334,0.6057906458797327,0.8266666666666667,0.24754268745360064,0.8523886205045625,0.5322834089584915,0.824134199134199,0.3201052115460711,0.7733333333333333,0.20982142857142858,0.7066666666666667,0.5635119047619047,0.8045977011494253,0.5597014925373134,0.7634408602150538,0.24489620861211192,0.9206349206349206,1.0,0.9298245614035088,0.07936507936507942
60.0,0.92,0.9955555555555555,0.9666666666666667,0.07555555555555549,0.8566666666666667,0.6748329621380846,0.87,0.19516703786191536,0.8560894253617287,0.6369727981570087,0.8687737637254791,0.2318009655684704,0.7933333333333333,0.35267857142857145,0.7733333333333333,0.4406547619047619,0.8165680473372781,0.6070460704607046,0.8100558659217877,0.20952197687657348,0.9083969465648855,0.9875,0.9586776859504132,0.07910305343511459
70.0,0.9266666666666666,0.9911111111111112,0.92,0.07111111111111112,0.8733333333333333,0.6837416481069042,0.8666666666666667,0.1895916852264291,0.8729720092708148,0.6502194426157559,0.866286325548226,0.22275256665505883,0.82,0.375,0.8133333333333334,0.44499999999999995,0.8373493975903614,0.6143250688705234,0.8313253012048193,0.22302432871983802,0.917910447761194,0.9767441860465116,0.9104477611940298,0.06629642485248177
80.0,0.94,1.0,0.9466666666666667,0.06000000000000005,0.8366666666666667,0.5011135857461024,0.8666666666666667,0.36555308092056427,0.8349038061972843,0.33382789317507416,0.8658078368223296,0.5319799436472554,0.7333333333333333,0.0,0.7866666666666666,0.7866666666666666,0.7790055248618785,0.5011135857461024,0.8160919540229885,0.3149783682768861,0.9243697478991597,0.0,0.9365079365079365,0.9365079365079365
90.0,0.9066666666666666,0.9955555555555555,0.9466666666666667,0.0888888888888889,0.8233333333333334,0.5434298440979956,0.8533333333333334,0.30990348923533784,0.822097902097902,0.42466481232615555,0.8520444763271162,0.42737966400096067,0.74,0.08928571428571429,0.76,0.6707142857142857,0.7771428571428571,0.5233644859813084,0.797752808988764,0.27438832300745564,0.888,0.9523809523809523,0.9344262295081968,0.06438095238095232
100.0,0.9,1.0,0.9533333333333334,0.09999999999999998,0.87,0.5011135857461024,0.8633333333333333,0.36888641425389757,0.8698828946051447,0.33382789317507416,0.8622172934099539,0.5360550014300705,0.84,0.0,0.7733333333333333,0.84,0.8490566037735849,0.5011135857461024,0.807909604519774,0.3479430180274825,0.8936170212765957,0.0,0.943089430894309,0.943089430894309
