run_id,config_hash,dataset,variant,model_family,method,seed,status,start_time,end_time,elapsed_seconds,config_path,stdout_log,stderr_log,returncode,failure_reason,attempts,attempt_returncodes
0001_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed42,cbc887113d10c534,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,ce,42,completed,2026-05-01T08:59:18.308802+00:00,2026-05-01T09:10:11.635952+00:00,653.327,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/configs/0001_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed42.attempt1.json,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0001_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed42.attempt1.stdout.log,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0001_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed42.attempt1.stderr.log,0,,1,0
0002_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed43,0ba66bd19fe06e1f,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,ce,43,completed,2026-05-01T09:10:13.684585+00:00,2026-05-01T09:18:07.347001+00:00,473.662,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/configs/0002_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed43.attempt1.json,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0002_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed43.attempt1.stdout.log,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0002_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed43.attempt1.stderr.log,0,,1,0
0003_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed44,ab7ba5d1c83621d4,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,ce,44,completed,2026-05-01T09:18:09.413351+00:00,2026-05-01T09:30:29.636338+00:00,740.223,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/configs/0003_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed44.attempt1.json,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0003_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed44.attempt1.stdout.log,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0003_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed44.attempt1.stderr.log,0,,1,0
0004_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed45,ecb56a498c02e522,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,ce,45,completed,2026-05-01T09:30:31.648133+00:00,2026-05-01T09:41:30.002864+00:00,658.355,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/configs/0004_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed45.attempt1.json,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0004_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed45.attempt1.stdout.log,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0004_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed45.attempt1.stderr.log,0,,1,0
0005_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed46,a2150d55c3e66c0b,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,ce,46,completed,2026-05-01T09:41:32.090973+00:00,2026-05-01T09:52:21.090545+00:00,649.000,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/configs/0005_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed46.attempt1.json,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0005_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed46.attempt1.stdout.log,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0005_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed46.attempt1.stderr.log,0,,1,0
0001_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed42,1615bc72dc069706,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,cs_regularized_ce,42,completed,2026-05-01T09:52:23.199404+00:00,2026-05-01T10:03:22.870603+00:00,659.671,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/configs/0001_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed42.attempt1.json,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0001_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed42.attempt1.stdout.log,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0001_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed42.attempt1.stderr.log,0,,1,0
0002_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed43,49e60e1884ef18de,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,cs_regularized_ce,43,paused_by_user,2026-05-01T10:03:24.931395+00:00,2026-05-01T10:08:46.653475+00:00,321.722,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/configs/0002_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed43.attempt1.json,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0002_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed43.attempt1.stdout.log,results/multiclass_mc3_selected_official_dinov3_lora_balanced_20260501/mc3/logs/0002_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed43.attempt1.stderr.log,130,paused_by_user at user request; partial attempt interrupted,1,130
