phase,tag,dataset,model_family,model_checkpoint,method,decision_mode,nicme_logit_cost_scale,cs_lambda,target_class,cost_matrix_C_true_pred,target_recall_floor,accuracy_floor,accuracy_floor_metric,floor_accuracy_value,target_recall_floor_met,accuracy_floor_met,all_floors_met,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,threshold,calibration_selection_score,confusion_matrix,run,metrics_file,config_file,elapsed_seconds
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.3_l0.5,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_cost_min,0.3,0.5,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.9560546875,0.9699743590277343,0.5081453509870919,0.32117683572358247,0.28873659049843453,0.5,,,"[[0, 32], [0, 32]]",stop2c_frontier_breakhis_vit_hybrid_s0.3_l0.5_04-28_07-34,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.3_l0.5_04-28_07-34/metrics_20260428_073414_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/015_stop2c_frontier_breakhis_vit_hybrid_s0.3_l0.5.json,37.04631233215332
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.3_l0.5,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_threshold,0.3,0.5,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.921875,False,True,False,0.05,0.5,0.90625,0.09375,0.9354838709677419,0.0625,0.921875,0.921875,0.9218559218559218,0.06625624999999999,0.9560546875,0.9699743590277343,0.5081453509870919,0.32117683572358247,0.28873659049843453,0.5,0.4718301279016144,0.0078125,"[[30, 2], [3, 29]]",stop2c_frontier_breakhis_vit_hybrid_s0.3_l0.5_04-28_07-34,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.3_l0.5_04-28_07-34/metrics_20260428_073414_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/015_stop2c_frontier_breakhis_vit_hybrid_s0.3_l0.5.json,37.04631233215332
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.5_l0.25,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,0.5,0.25,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.95703125,0.9709119862153615,0.5911369864781395,0.398950588196265,0.39343438949435955,,,,"[[30, 2], [1, 31]]",stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25_04-28_07-32,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25_04-28_07-32/metrics_20260428_073301_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/013_stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25.json,37.07240033149719
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.5_l0.25,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_cost_min,0.5,0.25,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.95703125,0.9709119862153615,0.5075026816013819,0.3203345847481983,0.3370590107842041,0.5,,,"[[0, 32], [0, 32]]",stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25_04-28_07-32,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25_04-28_07-32/metrics_20260428_073301_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/013_stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25.json,37.07240033149719
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.5_l0.25,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_threshold,0.5,0.25,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.95703125,0.9709119862153615,0.5075026816013819,0.3203345847481983,0.3370590107842041,0.5,0.490120121742021,0.0125,"[[30, 2], [1, 31]]",stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25_04-28_07-32,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25_04-28_07-32/metrics_20260428_073301_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/013_stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.25.json,37.07240033149719
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.5_l0.5,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,0.5,0.5,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.90625,False,True,False,0.065625,0.65625,0.875,0.125,0.9333333333333333,0.0625,0.90625,0.90625,0.906158357771261,0.10172499999999998,0.9541015625,0.9682231613895882,0.5916424679325929,0.3995057479751878,0.34590711724013085,,,,"[[30, 2], [4, 28]]",stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5_04-28_07-34,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5_04-28_07-34/metrics_20260428_073451_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/016_stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5.json,37.032289028167725
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.5_l0.5,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_cost_min,0.5,0.5,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.9541015625,0.9682231613895882,0.5088190738878033,0.32183594488241607,0.28903958618839193,0.5,,,"[[0, 32], [0, 32]]",stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5_04-28_07-34,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5_04-28_07-34/metrics_20260428_073451_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/016_stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5.json,37.032289028167725
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.5_l0.5,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_threshold,0.5,0.5,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.921875,False,True,False,0.05,0.5,0.90625,0.09375,0.9354838709677419,0.0625,0.921875,0.921875,0.9218559218559218,0.06625624999999999,0.9541015625,0.9682231613895882,0.5088190738878033,0.32183594488241607,0.28903958618839193,0.5,0.4735528385795965,0.0078125,"[[30, 2], [3, 29]]",stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5_04-28_07-34,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5_04-28_07-34/metrics_20260428_073451_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/016_stop2c_frontier_breakhis_vit_hybrid_s0.5_l0.5.json,37.032289028167725
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.75_l0.25,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,0.75,0.25,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.95703125,0.9709119862153615,0.5913469513339672,0.39916761509501597,0.3934938134625554,,,,"[[30, 2], [1, 31]]",stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25_04-28_07-33,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25_04-28_07-33/metrics_20260428_073337_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/014_stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25.json,35.95296859741211
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.75_l0.25,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_cost_min,0.75,0.25,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.95703125,0.9709119862153615,0.5079589030455565,0.3208161868452176,0.3372042964577919,0.5,,,"[[0, 32], [0, 32]]",stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25_04-28_07-33,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25_04-28_07-33/metrics_20260428_073337_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/014_stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25.json,35.95296859741211
