dataset,model_family,model_checkpoint,training_method,inference_mode,class_order,target_class,cost_matrix_C_true_pred,cost_matrix_meaning,target_recall_floor,accuracy_floor,accuracy_floor_metric,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,calibration_nll_before,calibration_nll_after,confusion_matrix_rows_true_cols_pred,run,metrics_file,config_file
spider_balanced_prototype,vit,google/vit-base-patch16-224-in21k,ce_calibrated_cost_min,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.096875,0.96875,0.8125,0.1875,0.9285714285714286,0.0625,0.875,0.875,0.8745098039215686,0.17249999999999996,0.9443359375,0.9570720476888074,0.4753855693792475,0.29408567777409406,0.22666427120566368,,,,"[[26, 6], [2, 30]]",stop2_prototype_spider_balanced_prototype_vit_ce_calibrated_cost_min_04-28_05-25,results/vit_test/stop2_prototype_spider_balanced_prototype_vit_ce_calibrated_cost_min_04-28_05-25/metrics_20260428_052541_ce_calibrated_cost_min.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_vit_ce_calibrated_cost_min.json
spider_balanced_prototype,vit,google/vit-base-patch16-224-in21k,ce_calibrated_cost_min,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.0421875,0.421875,1.0,0.0,0.5423728813559322,0.84375,0.578125,0.578125,0.4867834867834868,0.09141601562500001,0.9443359375,0.9570720476888074,0.36588272874912486,0.21633352147175955,0.12132241322562795,0.5,0.5006117897264248,0.41952683942511415,"[[32, 0], [27, 5]]",stop2_prototype_spider_balanced_prototype_vit_ce_calibrated_cost_min_04-28_05-25,results/vit_test/stop2_prototype_spider_balanced_prototype_vit_ce_calibrated_cost_min_04-28_05-25/metrics_20260428_052541_ce_calibrated_cost_min.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_vit_ce_calibrated_cost_min.json
spider_balanced_prototype,vit,google/vit-base-patch16-224-in21k,menon_logit_adjusted,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.096875,0.96875,0.8125,0.1875,0.9285714285714286,0.0625,0.875,0.875,0.8745098039215686,0.17249999999999996,0.9423828125,0.9547986460774702,0.4808480722777897,0.29888694113559955,0.23066788259893659,,,,"[[26, 6], [2, 30]]",stop2_prototype_spider_balanced_prototype_vit_menon_logit_adjusted_04-28_05-26,results/vit_test/stop2_prototype_spider_balanced_prototype_vit_menon_logit_adjusted_04-28_05-26/metrics_20260428_052609_menon_logit_adjusted.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_vit_menon_logit_adjusted.json
spider_balanced_prototype,vit,google/vit-base-patch16-224-in21k,menon_logit_adjusted,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.0453125,0.453125,1.0,0.0,0.5245901639344263,0.90625,0.546875,0.546875,0.429800307219662,0.10938476562500002,0.9423828125,0.9547986460774702,0.3713851343121378,0.22071672793959995,0.1295643132359769,0.5,0.5046761422287681,0.42287468286082747,"[[32, 0], [29, 3]]",stop2_prototype_spider_balanced_prototype_vit_menon_logit_adjusted_04-28_05-26,results/vit_test/stop2_prototype_spider_balanced_prototype_vit_menon_logit_adjusted_04-28_05-26/metrics_20260428_052609_menon_logit_adjusted.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_vit_menon_logit_adjusted.json
spider_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.6513671875,0.6124438901353613,0.7149313221905699,0.5216482220457803,0.17779514845460653,,,,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_vit_nicme_hybrid_04-28_05-26,results/vit_test/stop2_prototype_spider_balanced_prototype_vit_nicme_hybrid_04-28_05-26/metrics_20260428_052630_nicme_hybrid.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_vit_nicme_hybrid.json
spider_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.6513671875,0.6124438901353613,0.6906328959823987,0.49749665299454293,0.1068432293371133,5.75,0.7194577277219776,0.6918981330077114,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_vit_nicme_hybrid_04-28_05-26,results/vit_test/stop2_prototype_spider_balanced_prototype_vit_nicme_hybrid_04-28_05-26/metrics_20260428_052630_nicme_hybrid.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_vit_nicme_hybrid.json
spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,ce,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.1375,1.375,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.29999999999999993,0.8095703125,0.8306759152269685,0.6884365551093603,0.49528966627967896,0.24652585480362177,,,,"[[24, 8], [8, 24]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_04-28_05-26,results/timm_dinov3_vit_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_04-28_05-26/metrics_20260428_052654_ce.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce.json
spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,ce,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.8095703125,0.8306759152269685,0.6838013415136667,0.4906564792183069,0.24305270177345184,0.5,0.6876049751688731,0.6821795859269748,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_04-28_05-26,results/timm_dinov3_vit_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_04-28_05-26/metrics_20260428_052654_ce.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce.json
spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,ce_calibrated_cost_min,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.1375,1.375,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.29999999999999993,0.8095703125,0.8306759152269685,0.6884365551093603,0.49528966627967896,0.24652585480362177,,,,"[[24, 8], [8, 24]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_calibrated_cost_min_04-28_05-27,results/timm_dinov3_vit_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_calibrated_cost_min_04-28_05-27/metrics_20260428_052717_ce_calibrated_cost_min.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_calibrated_cost_min.json
spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,ce_calibrated_cost_min,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.8095703125,0.8306759152269685,0.6838013415136667,0.4906564792183069,0.24305270177345184,0.5,0.6876049751688731,0.6821795859269748,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_calibrated_cost_min_04-28_05-27,results/timm_dinov3_vit_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_calibrated_cost_min_04-28_05-27/metrics_20260428_052717_ce_calibrated_cost_min.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_ce_calibrated_cost_min.json
