cost_value,class_0_recall_parent,class_0_recall_playground,class_0_recall_hybrid,class_0_recall_spread,accuracy_parent,accuracy_playground,accuracy_hybrid,accuracy_spread,f1_score_parent,f1_score_playground,f1_score_hybrid,f1_score_spread,class_1_recall_parent,class_1_recall_playground,class_1_recall_hybrid,class_1_recall_spread,class_0_precision_parent,class_0_precision_playground,class_0_precision_hybrid,class_0_precision_spread,class_1_precision_parent,class_1_precision_playground,class_1_precision_hybrid,class_1_precision_spread
1.0,0.84,0.7555555555555555,0.9,0.1444444444444445,0.86,0.8463251670378619,0.8966666666666666,0.05034149962880474,0.8599439775910365,0.8450957745211274,0.8966655185057611,0.051569743984633765,0.88,0.9375,0.8933333333333333,0.057499999999999996,0.875,0.9239130434782609,0.8940397350993378,0.048913043478260865,0.8461538461538461,0.7924528301886793,0.8993288590604027,0.10687602887172343
2.0,0.84,0.7822222222222223,0.8533333333333334,0.07111111111111112,0.8633333333333333,0.8685968819599109,0.8733333333333333,0.010000000000000009,0.8632588853931585,0.8676488956169407,0.8732826463918901,0.01002376099873159,0.8866666666666667,0.9553571428571429,0.8933333333333333,0.06869047619047619,0.8811188811188811,0.946236559139785,0.8888888888888888,0.06511767802090385,0.8471337579617835,0.8136882129277566,0.8589743589743589,0.045286146046602305
3.0,0.8,0.6533333333333333,0.8133333333333334,0.16000000000000003,0.8333333333333334,0.821826280623608,0.8466666666666667,0.024840386043058715,0.8331479421579533,0.8167122504796506,0.846496106785317,0.02978385630566638,0.8666666666666667,0.9910714285714286,0.88,0.1244047619047619,0.8571428571428571,0.9865771812080537,0.8714285714285714,0.12943432406519662,0.8125,0.74,0.825,0.08499999999999996
4.0,0.8266666666666667,0.6133333333333333,0.8,0.21333333333333337,0.87,0.799554565701559,0.8433333333333334,0.07044543429844097,0.869755429640102,0.7924627141624553,0.8430385946944818,0.07729271547764671,0.9133333333333333,0.9866071428571429,0.8866666666666667,0.09994047619047619,0.9051094890510949,0.9787234042553191,0.8759124087591241,0.10281099549619499,0.8404907975460123,0.7175324675324676,0.8159509202453987,0.12295833001354473
5.0,0.8333333333333334,0.6133333333333333,0.7733333333333333,0.22000000000000008,0.8766666666666667,0.799554565701559,0.8366666666666667,0.07711210096510768,0.8764346383765069,0.7924627141624553,0.8360088800633653,0.08397192421405164,0.92,0.9866071428571429,0.9,0.08660714285714288,0.9124087591240876,0.9787234042553191,0.8854961832061069,0.09322722104921222,0.8466257668711656,0.7175324675324676,0.7988165680473372,0.12909329933869806
6.0,0.8533333333333334,0.6222222222222222,0.8466666666666667,0.23111111111111116,0.8733333333333333,0.799554565701559,0.8666666666666667,0.07377876763177427,0.8732826463918901,0.7931511056511057,0.8666133119914632,0.08013154074078443,0.8933333333333333,0.9776785714285714,0.8866666666666667,0.09101190476190468,0.8888888888888888,0.9655172413793104,0.8819444444444444,0.08357279693486597,0.8589743589743589,0.7203947368421053,0.8525641025641025,0.1385796221322536
7.0,0.82,0.0,0.86,0.86,0.87,0.49888641425389757,0.88,0.38111358574610243,0.8696741854636592,0.3328380386329866,0.8799519807923168,0.5471139421593303,0.92,1.0,0.9,0.09999999999999998,0.9111111111111111,0.0,0.8958333333333334,0.9111111111111111,0.8363636363636363,0.49888641425389757,0.8653846153846154,0.36649820113071785
8.0,0.8,0.7022222222222222,0.8466666666666667,0.1444444444444445,0.8533333333333334,0.8374164810690423,0.88,0.04258351893095769,0.8529149581030486,0.8344604320180201,0.8798665183537264,0.04540608633570631,0.9066666666666666,0.9732142857142857,0.9133333333333333,0.06654761904761908,0.8955223880597015,0.9634146341463414,0.9071428571428571,0.0678922460866399,0.8192771084337349,0.7649122807017544,0.85625,0.09133771929824552
9.0,0.8066666666666666,0.6355555555555555,0.8466666666666667,0.21111111111111114,0.86,0.8129175946547884,0.88,0.0670824053452116,0.8596006418256373,0.806941031941032,0.8798665183537264,0.07292548641269447,0.9133333333333333,0.9910714285714286,0.9133333333333333,0.07773809523809527,0.9029850746268657,0.9862068965517241,0.9071428571428571,0.08322182192485839,0.8253012048192772,0.7302631578947368,0.85625,0.12598684210526312
10.0,0.82,0.5066666666666667,0.86,0.3533333333333333,0.86,0.7461024498886414,0.8833333333333333,0.13723088344469192,0.859775641025641,0.7308153477218226,0.8832697802136719,0.1524544324918493,0.9,0.9866071428571429,0.9066666666666666,0.08660714285714288,0.8913043478260869,0.9743589743589743,0.9020979020979021,0.08305462653288742,0.8333333333333334,0.6656626506024096,0.8662420382165605,0.20057938761415095
