seed,method,display_name,hpo_run,metric,run95,candidate,delta_positive_favors_candidate,direction
43,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,target_recall_macro,0.921875,0.9765625,0.0546875,higher
43,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,normalized_atc,0.041875,0.005,0.036875000000000005,lower
43,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,atc,0.41875,0.05,0.36875,lower
43,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,balanced_accuracy,0.79375,0.978125,0.18437500000000007,higher
43,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,macro_f1,0.765835148290726,0.978298839093555,0.212463690802829,higher
43,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,critical_pair_error_count,8.0,1.0,7.0,lower
43,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,target_recall_min,0.875,0.90625,0.03125,higher
43,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,target_recall_macro,0.921875,0.96875,0.046875,higher
43,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,normalized_atc,0.041875,0.008125,0.03375,lower
43,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,atc,0.41875,0.08125,0.3375,lower
43,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,balanced_accuracy,0.79375,0.975,0.18125000000000002,higher
43,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,macro_f1,0.765835148290726,0.9751172894603926,0.2092821411696666,higher
43,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,critical_pair_error_count,8.0,2.0,6.0,lower
43,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,target_recall_min,0.875,0.96875,0.09375,higher
43,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,target_recall_macro,0.921875,0.96875,0.046875,higher
43,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,normalized_atc,0.041875,0.0115625,0.030312500000000003,lower
43,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,atc,0.41875,0.115625,0.303125,lower
43,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,balanced_accuracy,0.79375,0.9625,0.16875000000000007,higher
43,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,macro_f1,0.765835148290726,0.9627406286242494,0.1969054803335234,higher
43,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,critical_pair_error_count,8.0,3.0,5.0,lower
44,nicme_run69_a0p2_l0p09,"NICME run 69 (alpha=0.2, lambda=0.09)",69,target_recall_min,0.90625,0.90625,0.0,higher
44,nicme_run69_a0p2_l0p09,"NICME run 69 (alpha=0.2, lambda=0.09)",69,target_recall_macro,0.96875,0.96875,0.0,higher
44,nicme_run69_a0p2_l0p09,"NICME run 69 (alpha=0.2, lambda=0.09)",69,normalized_atc,0.005625,0.006562500000000001,-0.0009375000000000008,lower
44,nicme_run69_a0p2_l0p09,"NICME run 69 (alpha=0.2, lambda=0.09)",69,atc,0.05625,0.065625,-0.009375000000000001,lower
44,nicme_run69_a0p2_l0p09,"NICME run 69 (alpha=0.2, lambda=0.09)",69,balanced_accuracy,0.971875,0.9625,-0.009375000000000022,higher
