run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,smoke,ce_anchor_pmi20,ce_anchor_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,7a6d23b124f8c225,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0001_7a6d23b124f8c225.json,results/pmi20_sota_convnext_base_test/pmi20_smoke_ce_anchor_pmi20_lr5e5_s43_05-04_08-47/metrics_20260504_084731_cross_entropy.json,checkpoints/pmi20_smoke_ce_anchor_pmi20_lr5e5_s43,argmax,0.09375,0.6796875,0.05921875,0.5921875,0.6890625,0.6890625,0.669152301409466,20,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T08:46:25,2026-05-04T08:47:32,66.9,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0001_7a6d23b124f8c225.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0001_7a6d23b124f8c225.stderr.log,0,
2,smoke,nicme_v3_run50_a0p09_l0p07_pmi20,nicme_v3_run50_a0p09_l0p07_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,completed,aec2d1b02a57fee6,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0002_aec2d1b02a57fee6.json,results/pmi20_sota_convnext_base_test/pmi20_smoke_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s43_05-04_08-48/metrics_20260504_084837_nicme_v3_hybrid.json,checkpoints/pmi20_smoke_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s43,argmax,0.09375,0.703125,0.054843750000000004,0.5484375,0.690625,0.690625,0.6707944910333363,17,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T08:47:32,2026-05-04T08:48:38,65.9,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0002_aec2d1b02a57fee6.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0002_aec2d1b02a57fee6.stderr.log,0,
3,smoke,menon_logit_adjusted,menon_logit_adjusted,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,01910c8781e9b14d,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0003_01910c8781e9b14d.json,results/pmi20_sota_convnext_base_test/pmi20_smoke_menon_logit_adjusted_lr5e5_s43_05-04_08-49/metrics_20260504_084944_menon_logit_adjusted.json,checkpoints/pmi20_smoke_menon_logit_adjusted_lr5e5_s43,argmax,0.09375,0.6796875,0.05921875,0.5921875,0.6890625,0.6890625,0.669152301409466,20,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T08:48:38,2026-05-04T08:49:45,67.1,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0003_01910c8781e9b14d.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0003_01910c8781e9b14d.stderr.log,0,
4,smoke,cost_weighted_ce,cost_weighted_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,d0d6c7e2258ed51e,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0004_d0d6c7e2258ed51e.json,results/pmi20_sota_convnext_base_test/pmi20_smoke_cost_weighted_ce_lr5e5_s43_05-04_08-50/metrics_20260504_085051_cost_weighted_ce.json,checkpoints/pmi20_smoke_cost_weighted_ce_lr5e5_s43,argmax,0.34375,0.8203125,0.04921875,0.4921875,0.6484375,0.6484375,0.6226648064741169,10,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T08:49:45,2026-05-04T08:50:51,66.6,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0004_d0d6c7e2258ed51e.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0004_d0d6c7e2258ed51e.stderr.log,0,
5,smoke,ap_csada,ap_csada,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,completed,ee7eafb897981246,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0005_ee7eafb897981246.json,results/pmi20_sota_convnext_base_test/pmi20_smoke_ap_csada_lr5e5_s43_05-04_08-51/metrics_20260504_085158_ap_csada.json,checkpoints/pmi20_smoke_ap_csada_lr5e5_s43,argmax,0.40625,0.7890625,0.030156250000000002,0.3015625,0.740625,0.740625,0.7168787755159155,3,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T08:50:51,2026-05-04T08:51:58,67.1,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0005_ee7eafb897981246.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0005_ee7eafb897981246.stderr.log,0,
6,smoke,csada,csada,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,completed,1f704ad83668a8ed,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/configs/0006_1f704ad83668a8ed.json,results/pmi20_sota_convnext_base_test/pmi20_smoke_csada_lr5e5_s43_05-04_08-53/metrics_20260504_085329_csada.json,checkpoints/pmi20_smoke_csada_lr5e5_s43,argmax,0.3125,0.796875,0.05500000000000001,0.55,0.5625,0.5625,0.5220206945167903,10,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,2026-05-04T08:51:58,2026-05-04T08:53:29,91.1,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0006_1f704ad83668a8ed.stdout.log,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/smoke/logs/0006_1f704ad83668a8ed.stderr.log,0,
