run_id,phase,method,role,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,dry-run,ce_anchor,ce_anchor,planned,0fa0e9f48bbdadda,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0001_0fa0e9f48bbdadda.json,,checkpoints/dry-run_ce_anchor_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
2,dry-run,cost_weighted_ce,cost_weighted_ce,planned,245256df439336a9,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0002_245256df439336a9.json,,checkpoints/dry-run_cost_weighted_ce_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
3,dry-run,menon_logit_adjusted,menon_logit_adjusted,planned,ebccd25895b797ee,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0003_ebccd25895b797ee.json,,checkpoints/dry-run_menon_logit_adjusted_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
4,dry-run,balanced_softmax,balanced_softmax,planned,41875443cc73699a,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0004_41875443cc73699a.json,,checkpoints/dry-run_balanced_softmax_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
5,dry-run,class_balanced_focal,class_balanced_focal,planned,41de653bcc4c7512,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0005_41de653bcc4c7512.json,,checkpoints/dry-run_class_balanced_focal_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
6,dry-run,ldam_drw,ldam_drw,planned,d5a07fe4324e4321,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0006_d5a07fe4324e4321.json,,checkpoints/dry-run_ldam_drw_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
7,dry-run,ap_csada,ap_csada,planned,3fa9ef88327d0e95,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0007_3fa9ef88327d0e95.json,,checkpoints/dry-run_ap_csada_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
8,dry-run,sosr_cnn,sosr_cnn,planned,5410b28722e17e04,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0008_5410b28722e17e04.json,,checkpoints/dry-run_sosr_cnn_s42,sosr_argmin,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
9,dry-run,csada,csada,planned,fdbbacf6bd6fb972,/mnt/storage/github/NICME/results/pmi10_sota_baselines_balanced_20260502/dry-run/configs/0009_fdbbacf6bd6fb972.json,,checkpoints/dry-run_csada_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
