run_id,phase,backbone,loss,seed,status,config_hash,config_path,metric_path,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
52,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,f01194562c8344a5,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0052_f01194562c8344a5.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0051_05-02_06-42/metrics_20260502_064223_nicme_v3_hybrid.json,0.9032258064516129,0.967741935483871,0.00967741935483871,0.0967741935483871,0.9612903225806452,0.9612903225806452,0.9608093166764936,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T06:38:18,2026-05-02T06:42:24,245.7,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0052_f01194562c8344a5.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0052_f01194562c8344a5.stderr.log,0,
53,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,9129811f3d035631,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0053_9129811f3d035631.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0052_05-02_06-48/metrics_20260502_064817_nicme_v3_hybrid.json,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T06:42:24,2026-05-02T06:48:18,354.1,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0053_9129811f3d035631.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0053_9129811f3d035631.stderr.log,0,
54,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,7e9e31e93caf195a,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0054_7e9e31e93caf195a.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0053_05-02_06-52/metrics_20260502_065256_nicme_v3_hybrid.json,0.9354838709677419,0.9596774193548387,0.00935483870967742,0.0935483870967742,0.9806451612903226,0.9806451612903225,0.9807336790361646,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T06:48:18,2026-05-02T06:52:56,278.4,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0054_7e9e31e93caf195a.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0054_7e9e31e93caf195a.stderr.log,0,
55,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,100a751466727710,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0055_100a751466727710.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0054_05-02_06-56/metrics_20260502_065703_nicme_v3_hybrid.json,0.9354838709677419,0.967741935483871,0.01096774193548387,0.10967741935483871,0.9483870967741936,0.9483870967741935,0.9479752968055275,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T06:52:56,2026-05-02T06:57:04,247.7,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0055_100a751466727710.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0055_100a751466727710.stderr.log,0,
56,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,42c6b15f8d176d22,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0056_42c6b15f8d176d22.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0055_05-02_07-00/metrics_20260502_070022_nicme_v3_hybrid.json,0.9032258064516129,0.9435483870967742,0.016129032258064516,0.16129032258064516,0.964516129032258,0.964516129032258,0.9646580306791476,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T06:57:04,2026-05-02T07:00:23,198.9,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0056_42c6b15f8d176d22.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0056_42c6b15f8d176d22.stderr.log,0,
57,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,08153d68000f005f,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0057_08153d68000f005f.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0056_05-02_07-04/metrics_20260502_070430_nicme_v3_hybrid.json,0.9354838709677419,0.9758064516129032,0.004838709677419355,0.04838709677419355,0.9806451612903226,0.9806451612903225,0.9808202749715177,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T07:00:23,2026-05-02T07:04:30,247.3,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0057_08153d68000f005f.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0057_08153d68000f005f.stderr.log,0,
58,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,05d69b74f289bd5e,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0058_05d69b74f289bd5e.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0057_05-02_07-08/metrics_20260502_070835_nicme_v3_hybrid.json,0.967741935483871,0.9838709677419355,0.011612903225806452,0.11612903225806452,0.9129032258064516,0.9129032258064517,0.8990141806646198,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T07:04:30,2026-05-02T07:08:35,245.1,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0058_05d69b74f289bd5e.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0058_05d69b74f289bd5e.stderr.log,0,
59,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,69a71777e5c57019,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0059_69a71777e5c57019.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0058_05-02_07-12/metrics_20260502_071225_nicme_v3_hybrid.json,0.9354838709677419,0.9838709677419355,0.0016129032258064516,0.016129032258064516,0.9838709677419356,0.9838709677419355,0.9838070843091333,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T07:08:35,2026-05-02T07:12:25,230.1,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0059_69a71777e5c57019.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0059_69a71777e5c57019.stderr.log,0,
60,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,8d4735a183c2e5a3,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0060_8d4735a183c2e5a3.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0059_05-02_07-16/metrics_20260502_071704_nicme_v3_hybrid.json,0.9354838709677419,0.967741935483871,0.008709677419354838,0.08709677419354839,0.9580645161290322,0.9580645161290322,0.9584127529072006,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T07:12:25,2026-05-02T07:17:04,278.9,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0060_8d4735a183c2e5a3.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0060_8d4735a183c2e5a3.stderr.log,0,
61,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,8f311638c486055c,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0061_8f311638c486055c.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0060_05-02_07-21/metrics_20260502_072110_nicme_v3_hybrid.json,0.967741935483871,0.9919354838709677,0.004838709677419355,0.04838709677419355,0.9516129032258064,0.9516129032258065,0.9497088292536866,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T07:17:04,2026-05-02T07:21:10,245.8,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0061_8f311638c486055c.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0061_8f311638c486055c.stderr.log,0,
62,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,6f6a4f5ca2729338,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0062_6f6a4f5ca2729338.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0061_05-02_07-26/metrics_20260502_072632_nicme_v3_hybrid.json,0.967741935483871,0.9919354838709677,0.0016129032258064516,0.016129032258064516,0.9838709677419356,0.9838709677419355,0.9838465779227101,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T07:21:10,2026-05-02T07:26:33,322.7,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0062_6f6a4f5ca2729338.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0062_6f6a4f5ca2729338.stderr.log,0,
63,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,89ee3a021ea4bca5,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0063_89ee3a021ea4bca5.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0062_05-02_07-32/metrics_20260502_073212_nicme_v3_hybrid.json,0.967741935483871,0.9838709677419355,0.005161290322580645,0.05161290322580645,0.9774193548387096,0.9774193548387097,0.9780404879527449,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T07:26:33,2026-05-02T07:32:13,339.7,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0063_89ee3a021ea4bca5.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0063_89ee3a021ea4bca5.stderr.log,0,
64,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,9b7bdf10f8786f3f,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0064_9b7bdf10f8786f3f.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0063_05-02_07-35/metrics_20260502_073531_nicme_v3_hybrid.json,0.9032258064516129,0.9596774193548387,0.011935483870967743,0.11935483870967742,0.967741935483871,0.967741935483871,0.96793543070245,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T07:32:13,2026-05-02T07:35:31,198.9,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0064_9b7bdf10f8786f3f.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0064_9b7bdf10f8786f3f.stderr.log,0,
