dataset,model,method,mode,n,target_class,target_recall_floor,accuracy_floor,selection_accuracy_metric,cost_matrix,floor_pass_rate,all_seeds_floor_met,any_seed_floor_met,confusion_matrix_sum,selection_score_mean,selection_score_sd,selection_score_ci95,normalized_atc_mean,normalized_atc_sd,normalized_atc_ci95,atc_mean,atc_sd,atc_ci95,target_recall_mean,target_recall_sd,target_recall_ci95,target_fnr_mean,target_fnr_sd,target_fnr_ci95,target_precision_mean,target_precision_sd,target_precision_ci95,target_fpr_mean,target_fpr_sd,target_fpr_ci95,accuracy_mean,accuracy_sd,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,auroc_mean,auroc_sd,auroc_ci95,auprc_mean,auprc_sd,auprc_ci95,nll_mean,nll_sd,nll_ci95,brier_mean,brier_sd,brier_ci95,ece_mean,ece_sd,ece_ci95,selected_accuracy_mean,selected_accuracy_sd,selected_accuracy_ci95,rank_overall,rank_floor_satisfying
breakhis_balanced,vit,ce_calibrated_cost_min,calibrated_cost_min,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.6666666666666666,False,True,"[[588,258],[2,844]]",0.017275455627651193,0.005018966202296269,0.0056794949163807935,0.016430260047281323,0.0037290287362523314,0.004219793259594622,0.16430260047281323,0.037290287362523315,0.04219793259594622,0.9976359338061466,0.004094682760210118,0.0046335697399527255,0.002364066193853428,0.0040946827602101115,0.004633569739952719,0.7679171193781307,0.04692618041834651,0.05310197207728368,0.3049645390070922,0.08308776250964528,0.0940226544205625,0.8463356973995272,0.04067722649543683,0.04603061502737455,0.8463356973995272,0.0406772264954368,0.046030615027374516,0.8421228624331004,0.04427587027075888,0.05010286381407808,0.9919395402645743,0.0019113726673708913,0.0021629217870954235,0.9926243215101823,0.0014616868021181718,0.0016540543266007457,0.18833010393107208,0.035773961734668146,0.04048204861748045,0.10517419327016213,0.036313071842761946,0.04109210913490083,0.06721272455444421,0.010939245687727044,0.012378921827379699,0.8463356973995272,0.04067722649543683,0.04603061502737455,1,
breakhis_balanced,vit,ce_calibrated_cost_min,calibrated_threshold,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.3333333333333333,False,True,"[[574,272],[3,843]]",0.018567686065422598,0.002680982687375851,0.003033817509448381,0.017848699763593382,0.0015990247350435784,0.0018094668279878287,0.17848699763593381,0.01599024735043579,0.0180946682798783,0.9964539007092199,0.003546099290780147,0.0040127891050059155,0.0035460992907801418,0.0035460992907801418,0.0040127891050059095,0.757418233159473,0.03803339551186193,0.043038838628459225,0.3215130023640662,0.06740698548171752,0.07627818477773637,0.8374704491725767,0.031931306523026226,0.03613367489662546,0.8374704491725767,0.03193130652302623,0.03613367489662547,0.8328419879174384,0.034775487794822146,0.03935216898950058,0.9919395402645743,0.0019113726673708913,0.0021629217870954235,0.9926243215101823,0.0014616868021181718,0.0016540543266007457,0.18833010393107208,0.035773961734668146,0.04048204861748045,0.10517419327016213,0.036313071842761946,0.04109210913490083,0.06721272455444421,0.010939245687727044,0.012378921827379699,0.8374704491725767,0.031931306523026226,0.03613367489662546,2,
breakhis_balanced,vit,nicme_logit_adjustment,calibrated_threshold,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.3333333333333333,False,True,"[[604,242],[6,840]]",0.018638105058430998,0.005565317355952065,0.0062977494482258575,0.017848699763593382,0.004738832455177563,0.00536249373953695,0.17848699763593381,0.04738832455177565,0.053624937395369526,0.9929078014184398,0.003546099290780147,0.0040127891050059155,0.0070921985815602835,0.0035460992907801418,0.0040127891050059095,0.7819304040899677,0.08166542115563577,0.09241312365987334,0.2860520094562648,0.1280693449719324,0.14492410675718906,0.8534278959810875,0.06234314186278826,0.07054790628375135,0.8534278959810875,0.06234314186278822,0.07054790628375131,0.8493427118124023,0.06583645140313123,0.07450095816257156,0.9758521536475362,0.014295979710149783,0.016177423958609435,0.9774334632501119,0.013734902610429327,0.015542505450072346,0.27794674370029626,0.056002076790551185,0.06337231565599753,0.169984349179074,0.03891949714192922,0.04404155701717071,0.06717393778768148,0.04488505032875529,0.05079221594419766,0.8534278959810875,0.06234314186278826,0.07054790628375135,3,
breakhis_balanced,vit,nicme_hybrid,calibrated_threshold,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.6666666666666666,False,True,"[[602,244],[6,840]]",0.01881209865365592,0.003256552303307194,0.0036851358439312283,0.017966903073286054,0.0017936159462758302,0.0020296675128341057,0.17966903073286053,0.017936159462758304,0.02029667512834106,0.9929078014184397,0.007092198581560294,0.008025578210011831,0.0070921985815602835,0.0070921985815602835,0.008025578210011819,0.7784252464667768,0.06086016774226434,0.06886976308868731,0.28841607565011823,0.1041330235897732,0.117837609234127,0.8522458628841608,0.04856775355567795,0.0549595869550399,0.8522458628841608,0.048567753555677905,0.054959586955039844,0.8483578987938877,0.05248984563815914,0.05939785195746964,0.9867796723840182,0.004703257323194346,0.005322236687964096,0.9881258853082976,0.004419593024826522,0.005001240316280684,0.24987179639924995,0.022381925518548458,0.02532753301730757,0.14712457215903052,0.03020345936205228,0.03417843177055206,0.10740561797671166,0.019912167360343697,0.022532738563860896,0.8522458628841608,0.04856775355567795,0.0549595869550399,4,
breakhis_balanced,vit,menon_logit_adjusted,calibrated_threshold,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.0,False,False,"[[563,283],[3,843]]",0.019113181764834095,0.0017181988682668447,0.0019443250550657393,0.018498817966903072,0.0009765196005826417,0.0011050359543600546,0.18498817966903072,0.009765196005826421,0.011050359543600551,0.9964539007092199,0.003546099290780147,0.0040127891050059155,0.0035460992907801418,0.0035460992907801418,0.0040127891050059095,0.7491791058482095,0.02261638194447076,0.02559284543932175,0.33451536643026003,0.04200793296434246,0.047536451153923236,0.8309692671394799,0.019449743110998077,0.022009456264775466,0.8309692671394799,0.01944974311099801,0.02200945626477539,0.8260350399941938,0.021489078397009132,0.024317181386414383,0.9825000419160673,0.007693183452661693,0.008705656613146031,0.9826364079991187,0.008946720842034666,0.010124167705565772,0.2732060418225391,0.05946450712989798,0.06729042442940304,0.1637829603197269,0.041122335080222665,0.0465343028074142,0.06268081890018135,0.022481252828638245,0.02543993244977528,0.8309692671394799,0.019449743110998077,0.022009456264775466,5,
breakhis_balanced,vit,ce,calibrated_threshold,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.3333333333333333,False,True,"[[582,264],[6,840]]",0.019836066260919136,0.002292271797826349,0.002593949729480427,0.019148936170212766,0.0013847960418274198,0.0015670442403427067,0.1914893617021277,0.013847960418274205,0.015670442403427073,0.9929078014184398,0.0061420241403152085,0.006950354609929124,0.0070921985815602835,0.006142024140315168,0.006950354609929078,0.7629364681064049,0.0470112341625307,0.05319821944940033,0.3120567375886525,0.08016067060608026,0.09071033811556907,0.8404255319148936,0.03714951567332799,0.042038634433549875,0.8404255319148936,0.03714951567332788,0.04203863443354975,0.8360809226770192,0.04000262285994766,0.04526722914990445,0.9761749073654914,0.013299418586768962,0.015049708886227682,0.9772675563146876,0.013986389908024317,0.015827090117642256,0.27951872466478506,0.09663215118627291,0.10934957305954388,0.17079507208126954,0.06970649616865453,0.07888032608138708,0.07706278983788391,0.050897844012589434,0.057596332526006586,0.8404255319148936,0.03714951567332799,0.042038634433549875,6,
breakhis_balanced,vit,ce,calibrated_cost_min,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.3333333333333333,False,True,"[[574,272],[6,840]]",0.021257859262612543,0.003372614799608112,0.003816472922356252,0.019621749408983452,0.0020163974124387672,0.002281768474174983,0.1962174940898345,0.020163974124387682,0.02281768474174984,0.9929078014184398,0.009382096847746768,0.010616842035595082,0.007092198581560284,0.009382096847746777,0.010616842035595092,0.7610329937184157,0.07911399913306462,0.08952591784443965,0.32151300236406616,0.13122164620688337,0.1484912714116579,0.8356973995271867,0.06096644376124278,0.0689900257254919,0.8356973995271867,0.06096644376124278,0.0689900257254919,0.8300989641807415,0.06535676112229707,0.07395813750954776,0.9761749073654914,0.013299418586768962,0.015049708886227682,0.9772675563146876,0.013986389908024317,0.015827090117642256,0.27951872466478506,0.09663215118627291,0.10934957305954388,0.17079507208126954,0.06970649616865453,0.07888032608138708,0.07706278983788391,0.050897844012589434,0.057596332526006586,0.8356973995271867,0.06096644376124278,0.0689900257254919,7,
breakhis_balanced,vit,ce,argmax,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.3333333333333333,False,True,"[[665,181],[18,828]]",0.021340754153882268,0.0016023660921888933,0.001813247929544549,0.021335697399527186,0.0016088247740917482,0.0018205566161455871,0.21335697399527187,0.01608824774091749,0.01820556616145588,0.9787234042553191,0.009382096847746768,0.010616842035595082,0.02127659574468085,0.009382096847746773,0.010616842035595089,0.8266818591843518,0.08552443617086798,0.09678001024126152,0.21394799054373523,0.11773548082530348,0.13323023863341163,0.882387706855792,0.054283510653451696,0.06142757499712338,0.882387706855792,0.054283510653451696,0.06142757499712338,0.8805905678021034,0.055814804230722874,0.06316039680485327,0.9761749073654914,0.013299418586768962,0.015049708886227682,0.9772675563146876,0.013986389908024317,0.015827090117642256,0.36737710062406165,0.16001450204800696,0.18107345503005506,0.19608497124343538,0.08755773271752412,0.09908090188602789,0.0884145812503553,0.045707884204025724,0.0517233401285937,0.882387706855792,0.054283510653451696,0.06142757499712338,8,
breakhis_balanced,vit,ce_calibrated_cost_min,argmax,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.6666666666666666,False,True,"[[747,99],[26,820]]",0.021732082557886084,0.005242643409481974,0.005932609504110085,0.021217494089834515,0.004351503577825051,0.004924189853592349,0.21217494089834513,0.04351503577825051,0.04924189853592349,0.9692671394799054,0.01675821144061208,0.01896370145729314,0.030732860520094565,0.016758211440612087,0.018963701457293147,0.8966476995930011,0.07008115586451909,0.07930429343886043,0.11702127659574468,0.08532772635117705,0.09655741212525396,0.9261229314420804,0.03457825644517749,0.03912898070679302,0.9261229314420804,0.03457825644517749,0.03912898070679302,0.9257629094395122,0.03501993400219487,0.03962878591341347,0.9919395402645743,0.0019113726673708913,0.0021629217870954235,0.9926243215101823,0.0014616868021181718,0.0016540543266007457,0.17074397021667934,0.061189765583115396,0.06924273815688108,0.106120413242049,0.046884859138542234,0.05305521264732788,0.03810440458304494,0.01705662398953176,0.019301387045571883,0.9261229314420804,0.03457825644517749,0.03912898070679302,9,
breakhis_balanced,vit,cs_regularized_ce,calibrated_threshold,3,malignant,0.97,0.85,accuracy,"[[0.0,1.0],[10.0,0.0]]",0.0,False,False,"[[586,260],[11,835]]",0.021973743775464006,0.000826779843744718,0.0009355894680792766,0.02186761229314421,0.0008379105720306035,0.0009481850728646565,0.2186761229314421,0.00837910572030604,0.00948185072864657,0.9869976359338062,0.002047341380105091,0.0023167848699763988,0.013002364066193853,0.0020473413801050558,0.0023167848699763593,0.7625673465511132,0.0029226769936813255,0.0033073203641502294,0.3073286052009456,0.005416756140609748,0.00612963660719457,0.8398345153664302,0.002047341380105091,0.0023167848699763988,0.8398345153664303,0.0020473413801050267,0.0023167848699763263,0.8362862191253186,0.00224393435012838,0.0025392507581373175,0.9632312257934711,0.020599501466152772,0.02331053032464457,0.962496267307737,0.022328281039407906,0.02526682857454179,0.3573428159209186,0.05742794778672156,0.06498584058279608,0.2166686865211465,0.03689230304136417,0.041747570940235436,0.08483099276751187,0.03729512826888107,0.04220341059718021,0.8398345153664302,0.002047341380105091,0.0023167848699763988,10,
