dataset,model,method,mode,n,selection_mean,selection_sd,nATC_mean,nATC_sd,recall_mean,recall_sd,acc_mean,acc_sd,bacc_mean,macro_f1_mean,ece_mean
breakhis_balanced,timm_dinov3_vit_lora,ce_calibrated_cost_min,argmax,3,0.15303597739885652,0.030150415643399667,0.08238770685579196,0.008686737022452403,0.8380614657210401,0.01953039201165286,0.9048463356973996,0.0010236706900525134,0.9048463356973996,0.9043944708994323,0.24418176668332822
breakhis_balanced,timm_dinov3_vit_lora,ce_calibrated_cost_min,calibrated_cost_min,3,0.13548516338883018,0.0641115776444067,0.04923167848699764,0.0013307718970682883,0.9704491725768322,0.051183534502626374,0.640661938534279,0.24363362423250165,0.640661938534279,0.5295478840470351,0.1570110268076369
breakhis_balanced,timm_dinov3_vit_lora,ce_calibrated_cost_min,calibrated_threshold,3,0.09016380463759364,0.030877829371636568,0.06105200945626477,0.014007466254693643,0.8877068557919623,0.027544161223950467,0.8947990543735225,0.017760022696591844,0.8947990543735225,0.8947787807047166,0.1570110268076369
breakhis_balanced,timm_dinov3_vit_lora,ce,argmax,3,0.15303597739885652,0.030150415643399667,0.08238770685579196,0.008686737022452403,0.8380614657210401,0.01953039201165286,0.9048463356973996,0.0010236706900525134,0.9048463356973996,0.9043944708994323,0.24418176668332822
breakhis_balanced,timm_dinov3_vit_lora,ce,calibrated_cost_min,3,0.13548516338883018,0.0641115776444067,0.04923167848699764,0.0013307718970682883,0.9704491725768322,0.051183534502626374,0.640661938534279,0.24363362423250165,0.640661938534279,0.5295478840470351,0.1570110268076369
breakhis_balanced,timm_dinov3_vit_lora,ce,calibrated_threshold,3,0.09016380463759364,0.030877829371636568,0.06105200945626477,0.014007466254693643,0.8877068557919623,0.027544161223950467,0.8947990543735225,0.017760022696591844,0.8947990543735225,0.8947787807047166,0.1570110268076369
breakhis_balanced,timm_dinov3_vit_lora,cs_regularized_ce,argmax,3,0.12376858642254747,0.03477582877014491,0.07393617021276595,0.009833634485008543,0.8605200945626477,0.026615437941365734,0.8882978723404257,0.021787598807525708,0.8882978723404255,0.8880943156976238,0.22955990320260924
breakhis_balanced,timm_dinov3_vit_lora,cs_regularized_ce,calibrated_cost_min,3,0.13063329477055144,0.0725152606029145,0.047104018912529556,0.005015986381257386,0.9775413711583925,0.038899486221996085,0.6300236406619385,0.22520755181155616,0.6300236406619385,0.518846056941295,0.1382679577171925
breakhis_balanced,timm_dinov3_vit_lora,cs_regularized_ce,calibrated_threshold,3,0.09917391479301844,0.01523290545509683,0.06518912529550829,0.007472796037383453,0.8782505910165485,0.010833512281219496,0.8959810874704491,0.027141755326725848,0.8959810874704491,0.8959408405934263,0.1382679577171925
breakhis_balanced,timm_dinov3_vit_lora,menon_logit_adjusted,argmax,3,0.15303597739885652,0.030150415643399667,0.08238770685579196,0.008686737022452403,0.8380614657210401,0.01953039201165286,0.9048463356973996,0.0010236706900525134,0.9048463356973996,0.9043944708994323,0.24420246872918824
breakhis_balanced,timm_dinov3_vit_lora,menon_logit_adjusted,calibrated_cost_min,3,0.13548516338883018,0.0641115776444067,0.04923167848699764,0.0013307718970682883,0.9704491725768322,0.051183534502626374,0.640661938534279,0.24363362423250165,0.640661938534279,0.5295478840470351,0.15701100965676926
breakhis_balanced,timm_dinov3_vit_lora,menon_logit_adjusted,calibrated_threshold,3,0.09004560132790096,0.030951228790366964,0.0609338061465721,0.014075751168369033,0.8877068557919623,0.027544161223950467,0.8959810874704491,0.018110583269556193,0.8959810874704491,0.8959607171850292,0.15701100965676926
breakhis_balanced,timm_dinov3_vit_lora,nicme_hybrid,argmax,3,0.04931626175745685,0.016677366976768745,0.04083924349881796,0.010052321083396145,0.9278959810874704,0.0227982287493923,0.9160756501182034,0.003690897162174004,0.9160756501182034,0.9160269688023172,0.2556713641253487
breakhis_balanced,timm_dinov3_vit_lora,nicme_hybrid,calibrated_cost_min,3,0.12380505675435506,0.08434211577313992,0.040898345153664306,0.01576452862680893,0.9988179669030733,0.0020473413801050267,0.5963356973995272,0.16685832247856205,0.5963356973995272,0.48206184483274034,0.17033709322814958
breakhis_balanced,timm_dinov3_vit_lora,nicme_hybrid,calibrated_threshold,3,0.04762919705581543,0.02745934748914164,0.03788416075650119,0.018994264133760642,0.9373522458628841,0.04814518168892742,0.9030732860520095,0.026850630476597012,0.9030732860520095,0.9024399975157772,0.17033709322814958
breakhis_balanced,timm_dinov3_vit_lora,nicme_logit_adjustment,argmax,3,0.10109056888486491,0.01908565673293721,0.06418439716312056,0.007453138140774369,0.8747044917257684,0.014763588648695954,0.9219858156028368,0.008125134210914604,0.9219858156028368,0.921805142868121,0.237837922594226
breakhis_balanced,timm_dinov3_vit_lora,nicme_logit_adjustment,calibrated_cost_min,3,0.169216504870647,0.0029280560145838997,0.04958628841607565,0.0003690897162173999,1.0,0.0,0.5041371158392435,0.003690897162174004,0.5041371158392435,0.3424273668902112,0.11304690028162014
breakhis_balanced,timm_dinov3_vit_lora,nicme_logit_adjustment,calibrated_threshold,3,0.061016209781533444,0.003281769375247233,0.04722222222222222,0.0016474420643931883,0.9113475177304965,0.003546099290780147,0.9267139479905437,0.004094682760210118,0.9267139479905437,0.9266955404025427,0.11304690028162014
spider_balanced,timm_dinov3_vit_lora,ce_calibrated_cost_min,argmax,3,0.1652444444444444,0.09659070003542435,0.09633333333333333,0.041569219381653054,0.8377777777777778,0.06543303050815756,0.7666666666666666,0.12124355652982138,0.7666666666666667,0.7644826947365919,0.13789045618640053
spider_balanced,timm_dinov3_vit_lora,ce_calibrated_cost_min,calibrated_cost_min,3,0.10100000000000002,0.06754998149518622,0.041,0.015588457268119898,0.9977777777777778,0.00384900179459753,0.6,0.17320508075688776,0.6,0.486300280612114,0.13524773239512175
spider_balanced,timm_dinov3_vit_lora,ce_calibrated_cost_min,calibrated_threshold,3,0.059077777777777785,0.031350119616996686,0.04455555555555555,0.019245008972987525,0.9688888888888889,0.026943012562182518,0.6944444444444443,0.07120653320005382,0.6944444444444443,0.6676792533699833,0.13524773239512175
spider_balanced,timm_dinov3_vit_lora,ce,argmax,3,0.1652444444444444,0.09659070003542435,0.09633333333333333,0.041569219381653054,0.8377777777777778,0.06543303050815756,0.7666666666666666,0.12124355652982138,0.7666666666666667,0.7644826947365919,0.13789045618640053
spider_balanced,timm_dinov3_vit_lora,ce,calibrated_cost_min,3,0.10100000000000002,0.06754998149518622,0.041,0.015588457268119898,0.9977777777777778,0.00384900179459753,0.6,0.17320508075688776,0.6,0.486300280612114,0.13524773239512175
spider_balanced,timm_dinov3_vit_lora,ce,calibrated_threshold,3,0.059077777777777785,0.031350119616996686,0.04455555555555555,0.019245008972987525,0.9688888888888889,0.026943012562182518,0.6944444444444443,0.07120653320005382,0.6944444444444443,0.6676792533699833,0.13524773239512175
spider_balanced,timm_dinov3_vit_lora,cs_regularized_ce,argmax,3,0.14682962962962956,0.005128115834930112,0.09722222222222222,0.0018358568490953625,0.8511111111111113,0.0038490017945975296,0.6977777777777777,0.001924500897298733,0.6977777777777777,0.6904985317131634,0.18905349347326486
spider_balanced,timm_dinov3_vit_lora,cs_regularized_ce,calibrated_cost_min,3,0.14,0.0,0.05000000000000001,8.498374721940739e-18,1.0,0.0,0.5,0.0,0.5,0.3333333333333333,0.18034404687695457
spider_balanced,timm_dinov3_vit_lora,cs_regularized_ce,calibrated_threshold,3,0.07631111111111112,0.000750555349946511,0.05544444444444444,0.0001924500897298741,0.9533333333333335,1.3597399555105182e-16,0.6555555555555556,0.001924500897298733,0.6555555555555556,0.6220381564257585,0.18034404687695457
spider_balanced,timm_dinov3_vit_lora,menon_logit_adjusted,argmax,3,0.1652444444444444,0.09659070003542435,0.09633333333333333,0.041569219381653054,0.8377777777777778,0.06543303050815756,0.7666666666666666,0.12124355652982138,0.7666666666666667,0.7644826947365919,0.13937599466906656
spider_balanced,timm_dinov3_vit_lora,menon_logit_adjusted,calibrated_cost_min,3,0.10100000000000002,0.06754998149518622,0.041,0.015588457268119898,0.9977777777777778,0.00384900179459753,0.6,0.17320508075688776,0.6,0.486300280612114,0.13599267829943887
spider_balanced,timm_dinov3_vit_lora,menon_logit_adjusted,calibrated_threshold,3,0.059077777777777785,0.031350119616996686,0.04455555555555555,0.019245008972987525,0.9688888888888889,0.026943012562182518,0.6944444444444443,0.07120653320005382,0.6944444444444443,0.6676792533699833,0.13599267829943887
spider_balanced,timm_dinov3_vit_lora,nicme_hybrid,argmax,3,0.02722222222222222,0.0033388842669592697,0.02722222222222222,0.0033388842669592697,0.96,0.006666666666666654,0.9077777777777779,0.0038490017945975296,0.9077777777777777,0.9075251886917886,0.17384165697627596
spider_balanced,timm_dinov3_vit_lora,nicme_hybrid,calibrated_cost_min,3,0.06802962962962965,0.04433108506319984,0.036,0.009820613241770826,1.0,0.0,0.64,0.09820613241770824,0.64,0.5745214747547308,0.06674206023837766
spider_balanced,timm_dinov3_vit_lora,nicme_hybrid,calibrated_threshold,3,0.021814814814814815,0.0006596232869285607,0.021555555555555553,0.0005091750772173163,1.0,0.0,0.7844444444444445,0.005091750772173164,0.7844444444444445,0.7739277348026992,0.06674206023837766
spider_balanced,timm_dinov3_vit_lora,nicme_logit_adjustment,argmax,3,0.027903703703703705,0.003681541097959804,0.02788888888888889,0.0036565517048676296,0.9577777777777777,0.010183501544346316,0.9111111111111111,0.010183501544346316,0.9111111111111111,0.9108802742388926,0.1480892499950197
spider_balanced,timm_dinov3_vit_lora,nicme_logit_adjustment,calibrated_cost_min,3,0.034674074074074086,0.005041902606457618,0.027999999999999997,0.0020275875100994076,1.0,0.0,0.7200000000000001,0.020275875100994052,0.7200000000000001,0.6958848532065686,0.050627020505281305
spider_balanced,timm_dinov3_vit_lora,nicme_logit_adjustment,calibrated_threshold,3,0.021407407407407413,0.00202421554180151,0.021111111111111112,0.001677740985615721,1.0,0.0,0.7888888888888889,0.016777409856157218,0.7888888888888889,0.7789037886423972,0.050627020505281305
breakhis_balanced,vit,ce_calibrated_cost_min,argmax,3,0.021732082557886084,0.005242643409481974,0.021217494089834515,0.004351503577825051,0.9692671394799054,0.01675821144061208,0.9261229314420804,0.03457825644517749,0.9261229314420804,0.9257629094395122,0.03810440458304494
breakhis_balanced,vit,ce_calibrated_cost_min,calibrated_cost_min,3,0.017275455627651193,0.005018966202296269,0.016430260047281323,0.0037290287362523314,0.9976359338061466,0.004094682760210118,0.8463356973995272,0.04067722649543683,0.8463356973995272,0.8421228624331004,0.06721272455444421
breakhis_balanced,vit,ce_calibrated_cost_min,calibrated_threshold,3,0.018567686065422598,0.002680982687375851,0.017848699763593382,0.0015990247350435784,0.9964539007092199,0.003546099290780147,0.8374704491725767,0.031931306523026226,0.8374704491725767,0.8328419879174384,0.06721272455444421
breakhis_balanced,vit,ce,argmax,3,0.021340754153882268,0.0016023660921888933,0.021335697399527186,0.0016088247740917482,0.9787234042553191,0.009382096847746768,0.882387706855792,0.054283510653451696,0.882387706855792,0.8805905678021034,0.0884145812503553
breakhis_balanced,vit,ce,calibrated_cost_min,3,0.021257859262612543,0.003372614799608112,0.019621749408983452,0.0020163974124387672,0.9929078014184398,0.009382096847746768,0.8356973995271867,0.06096644376124278,0.8356973995271867,0.8300989641807415,0.07706278983788391
breakhis_balanced,vit,ce,calibrated_threshold,3,0.019836066260919136,0.002292271797826349,0.019148936170212766,0.0013847960418274198,0.9929078014184398,0.0061420241403152085,0.8404255319148936,0.03714951567332799,0.8404255319148936,0.8360809226770192,0.07706278983788391
breakhis_balanced,vit,cs_regularized_ce,argmax,3,0.03101359924886407,0.018742127195224872,0.02872340425531915,0.01492629815260353,0.9669030732860521,0.03294884128786374,0.8617021276595745,0.02575503377009568,0.8617021276595745,0.8598517466127044,0.10117617858921664
breakhis_balanced,vit,cs_regularized_ce,calibrated_cost_min,3,0.07178910349915328,0.08721969271118135,0.030319148936170215,0.01705541051442334,0.9964539007092199,0.003546099290780147,0.7127659574468085,0.18426925460108062,0.7127659574468085,0.6533740609915798,0.08483099276751187
breakhis_balanced,vit,cs_regularized_ce,calibrated_threshold,3,0.021973743775464006,0.000826779843744718,0.02186761229314421,0.0008379105720306035,0.9869976359338062,0.002047341380105091,0.8398345153664302,0.002047341380105091,0.8398345153664303,0.8362862191253186,0.08483099276751187
breakhis_balanced,vit,menon_logit_adjusted,argmax,3,0.024752889693677376,0.01495335513916992,0.02322695035460993,0.012315996444547698,0.9728132387706857,0.032176495481834995,0.8900709219858157,0.025011943226357927,0.8900709219858157,0.8889322795744189,0.05721773541847303
breakhis_balanced,vit,menon_logit_adjusted,calibrated_cost_min,3,0.028818637560149556,0.011548982964308487,0.022458628841607566,0.004159429860499504,0.9988179669030733,0.0020473413801050267,0.7807328605200946,0.0484056624809534,0.7807328605200946,0.7684894227417066,0.06268081890018135
breakhis_balanced,vit,menon_logit_adjusted,calibrated_threshold,3,0.019113181764834095,0.0017181988682668447,0.018498817966903072,0.0009765196005826417,0.9964539007092199,0.003546099290780147,0.8309692671394799,0.019449743110998077,0.8309692671394799,0.8260350399941938,0.06268081890018135
breakhis_balanced,vit,nicme_hybrid,argmax,3,0.045734312492664686,0.046362369623741864,0.03392434988179669,0.025914037000881997,0.9456264775413712,0.06104374153037995,0.9054373522458629,0.05040993531096919,0.9054373522458629,0.9043687055877951,0.18133664148778217
