composite_rank,method,display_name,decision_mode,n_seeds,seeds,hpo_run,pilot_rank,learning_rate,parent_learning_rate,alpha,cs_lambda,loss_function,target_recall_min_mean,target_recall_min_std,target_recall_macro_mean,target_recall_macro_std,normalized_atc_mean,normalized_atc_std,atc_mean,atc_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,critical_pair_error_count_mean,critical_pair_error_count_std,critical_pair_error_count_total
1,nicme_v3_run53_a0p09_l0p2,"NICME v3 run 53 (alpha=0.09, lambda=0.2)",argmax,3,"42,43,44",53,5,5e-05,5e-05,0.09,0.2,nicme_v3_hybrid,0.9375,0.03125,0.9713541666666666,0.004510548978043951,0.009583333333333333,0.00290361663849299,0.09583333333333333,0.029036166384929906,0.9583333333333334,0.01004546954270097,0.9582333900933296,0.010964813236218741,2.0,1.0,6
2,nicme_v3_run20_a0p06_l0p03,"NICME v3 run 20 (alpha=0.06, lambda=0.03)",argmax,3,"42,43,44",20,3,5e-05,5e-05,0.06,0.03,nicme_v3_hybrid,0.9270833333333334,0.018042195912175804,0.9739583333333334,0.004510548978043951,0.007395833333333333,0.0021271435267356392,0.07395833333333333,0.021271435267356392,0.9635416666666666,0.015728821740147392,0.9637016230543414,0.015782243928084753,1.3333333333333333,0.5773502691896257,4
3,nicme_v3_run50_a0p09_l0p07,"NICME v3 run 50 (alpha=0.09, lambda=0.07)",argmax,3,"42,43,44",50,4,5e-05,5e-05,0.09,0.07,nicme_v3_hybrid,0.9166666666666666,0.018042195912175804,0.9713541666666666,0.004510548978043951,0.007083333333333334,0.0018042195912175807,0.07083333333333335,0.018042195912175804,0.9760416666666667,0.0018042195912176063,0.9761514499137874,0.0019044120326332057,1.6666666666666667,0.5773502691896257,5
4,nicme_v3_run95_a0p5_l0p07,"NICME v3 run 95 (alpha=0.5, lambda=0.07)",argmax,3,"42,43,44",95,1,5e-05,5e-05,0.5,0.07,nicme_v3_hybrid,0.8958333333333334,0.018042195912175804,0.953125,0.027063293868263706,0.018958333333333334,0.019934789523176146,0.18958333333333333,0.19934789523176144,0.9093749999999999,0.10024384332715905,0.9001766657836893,0.11643443962191703,3.6666666666666665,3.7859388972001824,11
5,nicme_v3_run69_a0p2_l0p09,"NICME v3 run 69 (alpha=0.2, lambda=0.09)",argmax,3,"42,43,44",69,2,5e-05,5e-05,0.2,0.09,nicme_v3_hybrid,0.875,0.05412658773652741,0.9557291666666666,0.022552744890219755,0.009375,0.0036039258108346234,0.09375,0.03603925810834623,0.9677083333333334,0.006505206248331651,0.9677443073903408,0.006525035005223016,2.3333333333333335,1.5275252316519468,7
